ano,cnpj,ativo,passivo,pl (C+D),num_cotas,cota_patr,fc_op,fc_inv,fc_fin,var_caixa (F+G+H),distrib,tx_adm,distr/fcop,distrib_min,variacao_cota,dy,rentab,rentab_report,abl (m2),area_cert (m2),props,cert_props,greenness_area,greenness_prop
2014,13320290000100,"44,963.00",-610.00,"44,353.00",44.87,988.52,-396.00,"-10,608.00","11,000.00",-4.00,0.00,114.00,NA,0.00,0.04,0.00,0.04,,,,,,,
2015,13320290000100,"45,328.00",-36.00,"45,292.00",47.95,944.65,232.00,"-1,400.00","1,230.00",62.00,0.00,116.00,0.00,220.40,-0.04,0.00,-0.04,,,,,,,
2016,13320290000100,"73,450.00",-46.00,"73,404.00",47.95,"1,531.00",-484.00,420.00,0.00,-64.00,0.00,110.00,NA,0.00,0.62,0.00,0.62,,,,,,,
2011,13371132000171,"62,421.00",-656.00,"61,765.00",600.00,102.94,978.00,"-57,714.00","56,746.00",10.00,"2,277.00",347.00,2.33,929.10,NA,NA,NA,,,,,,,
2012,13371132000171,"490,542.00","-3,566.00","486,976.00","4,194.06",116.11,"4,354.00","-394,242.00","389,888.00",0.00,"14,944.00","2,901.00",3.43,"4,136.30",0.13,0.24,0.37,,,,,,,
2013,13371132000171,"450,549.00","-4,101.00","446,448.00","4,194.06",106.45,"10,083.00","20,728.00","-30,811.00",0.00,"30,811.00","4,970.00",3.06,"9,578.85",-0.08,0.06,-0.02,,,,,,,
2014,13371132000171,"692,930.00","-7,323.00","685,607.00","6,452.94",106.25,"42,687.00",0.00,"-42,687.00",0.00,"42,687.00","5,094.00",1.00,"40,552.65",0.00,0.10,0.09,,,,,,,
2015,13371132000171,"678,146.00","-7,526.00","670,620.00","6,452.94",103.92,"74,172.00",0.00,"-74,172.00",0.00,"74,172.00","6,789.00",1.00,"70,463.40",-0.02,0.11,0.09,,,,,,,
2016,13371132000171,"699,057.00","-7,202.00","691,855.00","6,452.94",107.22,"73,890.00",0.00,"-73,887.00",3.00,"73,887.00","6,830.00",1.00,"70,195.50",0.03,0.11,0.14,,,,,,,
2011,13500306000159,"101,658.00",-66.00,"101,592.00",101.66,999.29,"4,649.00","-101,563.00","97,311.00",397.00,"4,353.00",128.00,0.94,"4,416.55",,NA,NA,,,,,,,
2012,13500306000159,"154,823.00",-92.00,"154,731.00",101.66,"1,521.98","11,428.00",0.00,"-10,942.00",486.00,"10,942.00",313.00,0.96,"10,856.60",0.52,0.11,0.63,,Painel - reuniao 16/11'!C1=MIN(,,,,,
2013,13500306000159,"165,191.00",-78.00,"165,113.00",101.66,"1,624.10","11,846.00",0.00,"-11,517.00",329.00,"11,517.00",487.00,0.97,"11,253.70",0.07,0.07,0.14,,,,,,,
2014,13500306000159,"167,922.00",-93.00,"167,829.00",101.66,"1,650.82","12,634.00",0.00,"-12,244.00",390.00,"12,244.00",501.00,0.97,"12,002.30",0.02,0.07,0.09,,,,,,,
2015,13500306000159,"130,290.00",-168.00,"130,122.00",101.66,"1,279.92","15,292.00",0.00,"-14,535.00",757.00,"14,535.00",495.00,0.95,"14,527.40",-0.22,0.09,-0.14,,,,,,,
2016,13500306000159,"130,741.00",-164.00,"130,577.00",101.66,"1,284.40","9,452.00",0.00,"-9,311.00",141.00,"9,311.00",383.00,0.99,"8,979.40",0.00,0.07,0.08,,,,,,,
