Data,Fundo,Cota,Greenness,Propriedades certificadas
2004-07-15,01201140000190,"1,2393698149","0,00",0
2004-08-17,01201140000190,"1,2181090044","0,00",0
2004-09-03,01201140000190,"1,2627270195","0,00",0
2006-02-24,01201140000190,"1,627304819","0,00",0
2006-05-17,01201140000190,"1,5943147673","0,00",0
2006-06-02,01201140000190,"1,7536933298","0,00",0
2006-07-03,01201140000190,"1,7478769818","0,00",0
2006-08-07,01201140000190,"1,8052364415","0,00",0
2006-09-01,01201140000190,"1,8226148623","0,00",0
2007-01-08,01201140000190,"2,0017682959","0,00",0
2007-03-20,01201140000190,"2,2122610024","0,00",0
2007-07-03,01201140000190,"4,6761017995","0,00",0
2007-09-19,01201140000190,"4,2465518929","0,00",0
2007-10-11,01201140000190,"4,7407043285","0,00",0
2007-12-13,01201140000190,"3,8259832351","0,00",0
2008-01-18,01201140000190,"2,8868836065","0,00",0
2008-02-06,01201140000190,"2,8839913334","0,00",0
2008-03-06,01201140000190,"4,416379412","0,00",0
2008-04-14,01201140000190,"3,896814431","0,00",0
2008-05-16,01201140000190,"3,7187662106","0,00",0
2008-06-02,01201140000190,"3,4930803728","0,00",0
2008-07-02,01201140000190,"3,7693392346","0,00",0
2008-09-08,01201140000190,"4,0240612958","0,00",0
2008-10-07,01201140000190,"3,0730472564","0,00",0
2008-11-25,01201140000190,"3,2453688415","0,00",0
2008-12-16,01201140000190,"2,8098308161","0,00",0
2009-01-05,01201140000190,"3,0511863956","0,00",0
2009-02-02,01201140000190,"3,1853124234","0,00",0
2009-03-06,01201140000190,"3,1515553535","0,00",0
2009-04-01,01201140000190,"3,069108218","0,00",0
2009-05-14,01201140000190,"3,2549004674","0,00",0
2009-06-01,01201140000190,"3,2807318013","0,00",0
2009-07-07,01201140000190,"3,8544855346","0,00",0
2009-08-04,01201140000190,"4,0478446131","0,00",0
2009-09-03,01201140000190,"4,3403299943","0,00",0
2009-10-01,01201140000190,"4,7145331853","0,00",0
2009-11-10,01201140000190,"4,9652408374","0,00",0
2009-12-02,01201140000190,"4,653933904","0,00",0
2010-01-13,01201140000190,"5,6590679769","0,00",0
2010-02-03,01201140000190,"5,7178731189","0,00",0
2010-03-02,01201140000190,"5,4887078382","0,00",0
2010-04-01,01201140000190,"5,2238809483","0,00",0
2010-05-03,01201140000190,"5,4560720148","0,00",0
2010-06-02,01201140000190,"5,2728585958","0,00",0
2010-07-02,01201140000190,"4,9675591771","0,00",0
2010-08-03,01201140000190,"5,0308272223","0,00",0
2010-09-01,01201140000190,"5,0441894696","0,00",0
2010-10-04,01201140000190,"4,9403890757","0,00",0
2010-11-01,01201140000190,"5,0236866653","0,00",0
2010-12-01,01201140000190,"4,9697696232","0,00",0
2011-01-03,01201140000190,"5,004825865","0,00",0
2011-02-02,01201140000190,"5,1107631668","0,00",0
2011-03-01,01201140000190,"4,976552754","0,00",0
2011-04-04,01201140000190,"5,1013690827","0,00",0
2011-05-02,01201140000190,"5,0026667828","0,00",0
2011-06-01,01201140000190,"5,1093514409","0,00",0
2011-07-04,01201140000190,"5,1093514409","0,00",0
2011-08-04,01201140000190,"4,4260008744","0,00",0
2011-09-06,01201140000190,"5,0716775663","0,00",0
2011-10-03,01201140000190,"5,0915357948","0,00",0
2011-11-04,01201140000190,"4,8348991453","0,00",0
2011-12-05,01201140000190,"5,1330030359","0,00",0
2012-01-02,01201140000190,"5,2159728825","0,00",0
2012-02-01,01201140000190,"5,2522770726","0,00",0
2012-03-02,01201140000190,"5,5176561656","0,00",0
2012-04-02,01201140000190,"5,5617443782","0,00",0
2012-05-02,01201140000190,"5,6200019163","0,00",0
2012-06-04,01201140000190,"6,2484162582","0,00",0
2012-07-02,01201140000190,"6,4089472459","0,00",0
2012-08-01,01201140000190,"6,7014560447","0,00",0
2012-09-03,01201140000190,"6,728834205","0,00",0
2012-10-01,01201140000190,"6,4140887088","0,00",0
2012-11-01,01201140000190,"6,7135070736","0,00",0
2012-12-03,01201140000190,"6,8904549287","0,00",0
2013-01-03,01201140000190,"6,6137998523","0,00",0
2013-02-01,01201140000190,"7,118948295","0,00",0
