"Data","QNegs","QTíts","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"20/07/2012",0,0,0,"58,245285541","58,245285541","58,245285541","58,245285541","58,245285541"
"23/07/2012",1107,75274,"8084602,84","62,904908384","63,48736124","61,740002674","63,48736124","62,555436671"
"24/07/2012",411,20622,"2211397,33","62,613681957","62,910732913","62,031229101","63,196134812","62,456419686"
"25/07/2012",582,15124,"1635172,28","62,899083856","63,073819713","62,4389461","63,481536711","62,974802727"
"26/07/2012",328,12932,"1396860,01","63,08546877","62,526314028","62,497191386","63,196134812","62,916557442"
"27/07/2012",586,17915,"1964284,4","64,069814095","63,178661226","63,178661226","65,001738664","63,860131067"
"30/07/2012",301,9119,"1005043,82","65,007563192","64,069814095","63,48736124","65,007563192","64,192129195"
"31/07/2012",354,8724,"982116,15","66,108399089","65,007563192","64,652266951","66,399625517","65,572542462"
"01/08/2012",155,10656,"1188710,3","64,638143127","67,276554073","64,351486505","67,276554073","65,258257451"
"02/08/2012",124,9568,"1050774,1","64,638143127","64,643993262","63,187309613","64,936500019","64,246184072"
"03/08/2012",96,11230,"1235788,08","64,12918137","64,351486505","63,883475694","64,936500019","64,374887045"
"06/08/2012",60,3423,"376708,86","64,34563637","64,936500019","63,836674613","64,936500019","64,380737181"
"07/08/2012",72,4572,"502860,02","64,772696235","64,351486505","64,175982451","64,819497316","64,34563637"
"08/08/2012",87,6269,"689325,44","64,351486505","64,643993262","63,941977045","64,673243937","64,328085964"
"09/08/2012",103,8372,"917115,91","64,643993262","64,643993262","63,245810964","64,760995964","64,088230424"
"10/08/2012",73,4121,"453208,37","64,351486505","64,643993262","64,058979748","64,819497316","64,339786235"
"13/08/2012",84,5330,"584013,35","63,766472991","64,205233126","63,766472991","64,351486505","64,099930694"
"14/08/2012",87,4580,"497802,66","63,590968937","64,058979748","63,269211505","64,058979748","63,585118802"
"15/08/2012",82,9097,"991784,41","64,292985154","63,590968937","63,50321691","64,292985154","63,778173261"
"16/08/2012",107,6947,"764058,28","64,146731775","64,292985154","64,029729072","64,930649883","64,339786235"
"17/08/2012",89,5634,"621002,34","64,351486505","64,439238532","64,094080559","64,930649883","64,480189478"
"20/08/2012",269,3509,"386303,96","64,205233126","64,234483802","64,094080559","64,79024664","64,404137721"
"21/08/2012",287,6119,"668857,79","63,772323126","64,234483802","63,661170559","64,351486505","63,94782718"
"22/08/2012",285,5655,"616892,49","64,058979748","63,772323126","63,356963532","64,058979748","63,819124207"
"23/08/2012",264,5414,"590197,66","63,473966234","63,766472991","63,251661099","64,088230424","63,772323126"
"24/08/2012",304,8831,"949714,63","63,122958126","63,479816369","62,596445964","63,479816369","62,912353261"
"27/08/2012",272,5511,"592706,1","63,766472991","63,122958126","62,596445964","63,766472991","62,918203396"
"28/08/2012",574,47241,"5232452,43","65,047652586","63,766472991","63,766472991","66,100676911","64,796096775"
"29/08/2012",379,13228,"1490754,45","66,358082857","65,521513532","64,954050424","66,399033803","65,931022992"
"30/08/2012",327,6132,"700750,08","66,9313961","66,399033803","66,176728668","67,212202587","66,855344343"
"31/08/2012",368,11009,"1264437,45","67,276554073","67,253153533","66,872894749","67,276554073","67,188802046"
"03/09/2012",101,5944,"668434,34","66,288328218","67,178143985","65,999580056","67,178143985","66,270649759"
"04/09/2012",73,3675,"414092,45","66,359042054","65,999580056","65,952437498","67,08975169","66,400291792"
"05/09/2012",98,6566,"736600,5","66,359042054","66,58886202","65,987794416","66,58886202","66,105650809"
"06/09/2012",45,2458,"276428,84","66,58886202","66,883503003","65,987794416","67,08975169","66,270649759"
"10/09/2012",39,2395,"269629,58","66,294221038","66,294221038","66,294221038","66,824574806","66,341363595"
"11/09/2012",95,5424,"612701,29","66,58886202","66,559397922","66,294221038","66,58886202","66,565290742"
"12/09/2012",101,6754,"761061,7","65,41619091","66,58886202","65,41619091","66,58886202","66,400291792"
"13/09/2012",68,3258,"366175,5","65,999580056","65,41619091","65,41619091","66,565290742","66,229400022"
"14/09/2012",43,8555,"962589,49","66,176364645","66,529933824","65,76386727","66,559397922","66,306006677"
"17/09/2012",55,3526,"395864,85","66,058508252","66,471005627","65,58708268","66,559397922","66,158686186"
"18/09/2012",123,7212,"805856,75","65,993687236","66,058508252","65,056728912","66,559397922","65,846366745"
"19/09/2012",229,8135,"902558,8","65,410298091","65,934759039","64,897622781","65,934759039","65,380833993"
"20/09/2012",149,9726,"1072259,88","64,479232586","65,062621732","64,231734161","65,410298091","64,968336617"
"21/09/2012",185,10510,"1136675,49","63,094419969","64,24941262","63,053170232","64,997800715","63,730844491"
"24/09/2012",91,7311,"794764,05","64,467446947","63,465667607","63,347811214","64,496911045","64,060842391"
"25/09/2012",81,4516,"490337,91","64,202270063","64,349590554","63,58941682","64,349590554","63,984235736"
"26/09/2012",110,7442,"803645,32","63,465667607","64,113877768","62,876385642","64,219948522","63,636559377"
"27/09/2012",192,18053,"1927506,65","63,282990198","63,465667607","62,287103677","63,642452196","62,91763538"
"28/09/2012",162,17875,"1893920,34","62,346031874","63,171026625","61,962998597","63,229954821","62,434424169"
"01/10/2012",106,11315,"1193753,71","62,454726262","62,603215863","62,24684082","62,840799225","62,662611704"
"02/10/2012",93,7194,"760482,88","63,547609727","62,460665846","62,454726262","63,553549311","62,787342969"
"03/10/2012",79,4338,"464931,38","64,058413955","63,137778427","63,137778427","64,058413955","63,660461824"
"04/10/2012",133,19589,"2129769,64","64,919653642","64,058413955","63,553549311","65,038445323","64,575157767"
"05/10/2012",61,6148,"665370,43","64,147507716","64,444486918","63,696099328","64,74146612","64,284118149"
"08/10/2012",95,7804,"834662,02","63,256570108","64,74146612","62,662611704","64,74146612","63,523851391"
"09/10/2012",141,13818,1460301,"62,365632501","62,751705464","62,365632501","63,553549311","62,769524217"
"10/10/2012",140,10424,"1094136,73","62,306236661","62,365632501","61,771674096","62,840799225","62,341874165"
