"Data","Cota","Patrimônio","Capt Líq","Captação","Resg Total","Resgate","Resg IR","Q Cotistas","Fonte"
"30/12/1997","1000,5",35517750,"-","-","-","-","-","-","ANBIMA"
"30/01/1998","1405,28",49887456,"-","-","-","-","-","-","ANBIMA"
"27/02/1998","1414,66",50220458,"-","-","-","-","-","-","ANBIMA"
"30/03/1998","1419,94",50407841,"-","-","-","-","-","-","ANBIMA"
"30/04/1998","1424,12",50556387,"-","-","-","-","-","-","ANBIMA"
"29/05/1998","1427,99",50693600,"-","-","-","-","-","-","ANBIMA"
"30/06/1998","1432,2",50843229,"-","-","-","-","-","-","ANBIMA"
"31/07/1998","1437,52",51031875,"-","-","-","-","-","-","ANBIMA"
"31/08/1998","1440,38",51133515,"-","-","-","-","-","-","ANBIMA"
"30/09/1998","1449,24",51448174,"-","-","-","-","-","-","ANBIMA"
"30/10/1998","1460,55",51849525,"-","-","-","-","-","-","ANBIMA"
"30/11/1998","1470,62",52207085,"-","-","-","-","-","-","ANBIMA"
"31/12/1998","1008,89",35815712,"-","-","-","-","-","-","ANBIMA"
"29/01/1999","1016,51",36086164,"-","-","-","-","-","-","ANBIMA"
"26/02/1999","1136,54",40347299,"-","-","-","-","-","-","ANBIMA"
"31/03/1999","1245,8773",44228643,"-","-","-","-","-","-","ANBIMA"
"30/04/1999","1360,6289",48302326,"-","-","-","-","-","-","ANBIMA"
"28/05/1999","1462,16",51906680,"-","-","-","-","-","-","ANBIMA"
"30/06/1999","1527,4",54222532,"-","-","-","-","-","-","ANBIMA"
"30/07/1999","1359,77",48271823,"-","-","-","-","-","-","ANBIMA"
"31/08/1999","1443,76",51253486,"-","-","-","-","-","-","ANBIMA"
"30/09/1999","1593,37",54025716,"-","-","-","-","-","-","ANBIMA"
"29/10/1999","1593,37",56564608,"-","-","-","-","-","-","ANBIMA"
"30/11/1999","1671,98",59355290,"-","-","-","-","-","-","ANBIMA"
"30/12/1999","1698,73",60304796,"-","-","-","-","-","-","ANBIMA"
"31/01/2000","1737,95",61697358,"-","-","-","-","-","-","ANBIMA"
"29/02/2000","2194,64",62941412,"-","-","-","-","-","-","ANBIMA"
"31/03/2000","1807,05",77037986,"-","-","-","-","-","-","ANBIMA"
"28/04/2000","1842,3",78540874,"-","-","-","-","-","-","ANBIMA"
"31/05/2000","1866,84",79587093,"-","-","-","-","-","-","ANBIMA"
"30/06/2000","1847,6",78766965,"-","-","-","-","-","-","ANBIMA"
"31/07/2000","1883,94",80316304,"-","-","-","-","-","-","ANBIMA"
"31/08/2000","1936,395407",82552409,"-","-","-","-","-","-","ANBIMA"
"29/09/2000","1984,56","84605761,92","-","-","-","-","-","-","ANBIMA"
"31/10/2000","2028,21",86466701,"-","-","-","-","-","-","ANBIMA"
"30/11/2000","2062,87",87944169,"-","-","-","-","-","-","ANBIMA"
"28/12/2000","2101,88",89607319,"-","-","-","-","-","-","ANBIMA"
"29/12/2000","2101,88",89607319,"-","-","-","-","-","-","ANBIMA"
"31/01/2001","2123,91",90546499,"-","-","-","-","-","-","ANBIMA"
"23/02/2001","2014,21",85869735,"-","-","-","-","-","-","ANBIMA"
"30/03/2001","2008,54",85627939,"-","-","-","-","-","-","ANBIMA"
"30/04/2001","2025,71",86360215,"-","-","-","-","-","-","ANBIMA"
