"Data","Cota","Patrimônio","CaptLíq","Captação","ResgTotal","Resgate","ResgIR","QCotistas","Fonte"
"31/03/2014","1302,2214288","66087737,51",0,0,0,0,0,1,"ANBIMA"
"30/04/2014","1301,6639188","66059443,88",0,0,0,0,0,1,"ANBIMA"
"30/05/2014","1301,187851","66035283,44",0,0,0,0,0,1,"ANBIMA"
"30/06/2014","1300,6812303","66009572,44",0,0,0,0,0,1,"ANBIMA"
"31/07/2014","1359,4795994","68993589,67",0,0,0,0,0,1,"ANBIMA"
"29/08/2014","1358,9826433","68968369,15",0,0,0,0,0,1,"ANBIMA"
"30/09/2014","1357,6269342","68899566,91",0,0,0,0,0,1,"ANBIMA"
"31/10/2014","1357,1013637","68872894,21",0,0,0,0,0,1,"ANBIMA"
"28/11/2014","1356,5948197","68847187,1",0,0,0,0,0,1,"ANBIMA"
"31/12/2014","1355,1062936","68771644,4",0,0,0,0,0,1,"ANBIMA"
"30/01/2015","1354,5733415","68744597,08",0,0,0,0,0,1,"ANBIMA"
"27/02/2015","1354,0338696","68717218,88",0,0,0,0,0,1,"ANBIMA"
"31/03/2015","1353,4698201","68688593,37",0,0,0,0,0,1,"ANBIMA"
"30/04/2015","1352,9546361","68662447,78",0,0,0,0,0,1,"ANBIMA"
"29/05/2015","1352,1651754","68872271,32",250000,250000,0,0,0,1,"ANBIMA"
"30/06/2015","1398,1308371","71213523,4",0,0,0,0,0,1,"ANBIMA"
"31/07/2015","1397,4443527","71178557,45",0,0,0,0,0,1,"ANBIMA"
"31/08/2015","1396,7554982","71143470,78",0,0,0,0,0,1,"ANBIMA"
"30/09/2015","1395,2547235","71067029,11",0,0,0,0,0,1,"ANBIMA"
"30/10/2015","1394,6007748","71033720,36",0,0,0,0,0,1,"ANBIMA"
"30/11/2015","1393,9902666","71285539,95",283000,283000,0,0,0,1,"ANBIMA"
"31/12/2015","1393,2371894","71247029,27",0,0,0,0,0,1,"ANBIMA"
"29/01/2016","1392,3869089","71203547,83",0,0,0,0,0,1,"ANBIMA"
"29/02/2016","1391,8006521","71173567,97",0,0,0,0,0,1,"ANBIMA"
"31/03/2016","1481,5746507","75764409,18",0,0,0,0,0,1,"ANBIMA"
"29/04/2016","1505,4917559","76987476,37",0,0,0,0,0,1,"ANBIMA"
"31/05/2016","1503,6087501","76891183,67",0,0,0,0,0,1,"ANBIMA"
"30/06/2016","1485,7107691","75975921,01",0,0,0,0,0,1,"ANBIMA"
"29/07/2016","1483,7441251","75875351,24",0,0,0,0,0,1,"ANBIMA"
"31/08/2016","1482,7544441","75824741,17",0,0,0,0,0,1,"ANBIMA"
"30/09/2016","1481,5551747","76230200,82",467000,467000,0,0,0,1,"ANBIMA"
"31/10/2016","1477,8816548","76041187,84",0,0,0,0,0,1,"ANBIMA"
"30/11/2016","1477,1822808","76005203,07",0,0,0,0,0,1,"ANBIMA"
"30/12/2016","1474,4975189","75867064,48",0,0,0,0,0,1,"ANBIMA"
"31/01/2017","1472,7040221",75774784,0,0,0,0,0,1,"ANBIMA"
"24/02/2017","1469,0404564","76085596,84",0,0,0,0,0,1,"ANBIMA"
"31/03/2017","1467,2019253","75990374,32",0,0,0,0,0,1,"ANBIMA"
"28/04/2017","1465,8496441",75920336,0,0,0,0,0,1,"ANBIMA"
"31/05/2017","1449,6869421","75083225,75",0,0,0,0,0,1,"ANBIMA"
"30/06/2017","1442,5016242","74711078,61",0,0,0,0,0,1,"ANBIMA"
"31/07/2017","1473,8028016","76332251,64",0,0,0,0,0,1,"ANBIMA"
"31/08/2017","1472,8375842","76282260,41",0,0,0,0,0,1,"ANBIMA"
