"Data","Q Negs","Q Títs","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"22/12/2003",1,10,1000,"23,186044099","23,186044099","23,186044099","23,186044099","23,186044099"
"16/01/2004",2,51,4345,"22,218935688","19,880100352","19,880100352","22,218935688","19,880100352"
"19/01/2004",3,51,4080,"18,710682684","18,710682684","18,710682684","18,710682684","18,710682684"
"20/01/2004",3,51,3825,"17,541265017","17,541265017","17,541265017","17,541265017","17,541265017"
"22/01/2004",1,"0,03","2,49","19,412333285","19,412333285","19,412333285","19,412333285","19,412333285"
"30/01/2004",1,100,8000,"18,710682684","18,710682684","18,710682684","18,710682684","18,710682684"
"13/02/2004",2,11,775,"17,721805914","16,540352187","16,540352187","17,721805914","16,540352187"
"17/02/2004",1,89,6675,"17,721805914","17,721805914","17,721805914","17,721805914","17,721805914"
"08/03/2004",2,10,720,"17,012933678","17,012933678","17,012933678","17,012933678","17,012933678"
"16/03/2004",2,11,781,"16,977543868","16,977543868","16,977543868","16,977543868","16,977543868"
"17/03/2004",3,111,7770,"16,738423532","16,738423532","16,738423532","16,738423532","16,738423532"
"18/03/2004",1,20,1400,"16,738423532","16,738423532","16,738423532","16,738423532","16,738423532"
"22/03/2004",1,11,770,"16,738423532","16,738423532","16,738423532","16,738423532","16,738423532"
"23/03/2004",3,347,23596,"16,26018286","16,26018286","16,26018286","16,26018286","16,26018286"
"29/03/2004",1,19,1330,"16,738423532","16,738423532","16,738423532","16,738423532","16,738423532"
"30/03/2004",2,100,6800,"16,26018286","16,26018286","16,26018286","16,26018286","16,26018286"
"05/04/2004",1,97,6790,"16,738423532","16,738423532","16,738423532","16,738423532","16,738423532"
"08/04/2004",1,49,3430,"16,931074978","16,931074978","16,931074978","16,931074978","16,931074978"
"12/04/2004",2,100,7000,"16,931074978","16,931074978","16,931074978","16,931074978","16,931074978"
"13/04/2004",1,10,720,"17,414819977","17,414819977","17,414819977","17,414819977","17,414819977"
"16/04/2004",1,120,8400,"16,931074978","16,931074978","16,931074978","16,931074978","16,931074978"
"20/04/2004",3,202,14144,"17,414819977","16,931074978","16,931074978","17,414819977","16,931074978"
"22/04/2004",2,111,7770,"16,931074978","16,931074978","16,931074978","16,931074978","16,931074978"
"23/04/2004",1,2,144,"17,414819977","17,414819977","17,414819977","17,414819977","17,414819977"
"26/04/2004",2,333,23310,"16,931074978","16,931074978","16,931074978","16,931074978","16,931074978"
"03/05/2004",4,112,7844,"16,931074978","17,414819977","16,931074978","17,414819977","16,931074978"
"05/05/2004",2,3,208,"16,931074978","16,447329979","16,447329979","16,931074978","16,689202478"
"10/05/2004",1,1,70,"17,1105401","17,1105401","17,1105401","17,1105401","17,1105401"
"11/05/2004",1,10,700,"17,1105401","17,1105401","17,1105401","17,1105401","17,1105401"
"24/05/2004",3,21,1428,"16,621667526","16,621667526","16,621667526","16,621667526","16,621667526"
"25/05/2004",1,220,14960,"16,621667526","16,621667526","16,621667526","16,621667526","16,621667526"
"27/05/2004",3,100,6800,"16,621667526","16,621667526","16,621667526","16,621667526","16,621667526"
"28/05/2004",4,522,37016,"17,1105401","17,1105401","17,1105401","18,088285248","17,354976387"
"31/05/2004",1,100,7000,"17,1105401","17,1105401","17,1105401","17,1105401","17,1105401"
"04/06/2004",1,100,7000,"17,1105401","17,1105401","17,1105401","17,1105401","17,1105401"
"07/06/2004",2,11,770,"17,1105401","17,1105401","17,1105401","17,1105401","17,1105401"
"08/06/2004",2,36,2520,"17,299849886","17,299849886","17,299849886","17,299849886","17,299849886"
"16/06/2004",1,30,2100,"17,299849886","17,299849886","17,299849886","17,299849886","17,299849886"
"18/06/2004",4,102,7437,"17,299849886","18,288412736","17,299849886","18,288412736","18,041272024"
"05/07/2004",3,642,46224,"17,794131311","17,794131311","17,794131311","17,794131311","17,794131311"
"23/07/2004",2,6,474,"19,706400504","19,706400504","19,706400504","19,706400504","19,706400504"
"29/07/2004",1,3,237,"19,706400504","19,706400504","19,706400504","19,706400504","19,706400504"
