"Data","QNegs","QTíts","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"17/12/2009",5,112,112000,"557,86970035","557,86970035","557,86970035","557,86970035","557,86970035"
"18/12/2009",1,3,3060,"569,02709436","569,02709436","569,02709436","569,02709436","569,02709436"
"21/12/2009",3,8,8360,"585,76318537","580,18448837","580,18448837","585,76318537","582,97383687"
"22/12/2009",8,42,46012,"600,26779758","613,65667039","600,26779758","613,65667039","611,15741413"
"23/12/2009",4,13,14280,"613,65667039","613,65667039","602,49927638","613,65667039","612,79755105"
"28/12/2009",5,12,13550,"624,8140644","635,9714584","624,8140644","635,9714584","629,92972955"
"29/12/2009",3,8,9120,"635,9714584","635,9714584","635,9714584","635,9714584","635,9714584"
"30/12/2009",7,81,93110,"647,12885241","641,55015541","630,3927614","647,12885241","641,27679925"
"04/01/2010",3,18,20514,"658,53522187","639,99284787","638,30717751","658,53522187","640,36931425"
"05/01/2010",1,12,13920,"651,79254042","651,79254042","651,79254042","651,79254042","651,79254042"
"06/01/2010",11,62,"70630,44","634,94145568","646,1736392","634,94145568","646,1736392","640,1052259"
"07/01/2010",6,55,"62334,04","641,11662812","637,75090629","635,4977269","641,11662812","636,81816869"
"08/01/2010",6,74,"84485,43","640,5603569","651,79254042","640,55473799","651,79254042","641,5099512"
"12/01/2010",1,2,2280,"640,55473799","640,55473799","640,55473799","640,55473799","640,55473799"
"13/01/2010",1,14,15960,"640,55473799","640,55473799","640,55473799","640,55473799","640,55473799"
"14/01/2010",2,13,14950,"646,1736392","646,1736392","646,1736392","646,1736392","646,1736392"
"15/01/2010",10,49,"56659,66","646,1736392","662,91234591","646,1736392","663,03034284","649,72478477"
"18/01/2010",2,7,8055,"646,1736392","646,73552933","646,1736392","646,73552933","646,57258119"
"19/01/2010",3,32,37140,"651,79254042","657,41144163","651,79254042","657,41144163","652,14653119"
"20/01/2010",1,7,8120,"651,79254042","651,79254042","651,79254042","651,79254042","651,79254042"
"21/01/2010",5,55,63805,"651,79254042","651,79254042","651,79254042","652,35443054","651,84311053"
"22/01/2010",7,68,"78804,59","649,54497993","651,79254042","649,54497993","652,07348548","651,16884238"
"26/01/2010",1,1,1160,"651,79254042","651,79254042","651,79254042","651,79254042","651,79254042"
"28/01/2010",5,22,25570,"651,79254042","657,41144163","651,79254042","657,41144163","653,06803099"
"29/01/2010",1,3,3480,"651,79254042","651,79254042","651,79254042","651,79254042","651,79254042"
"02/02/2010",6,60,69600,"656,4898384","656,4898384","656,4898384","656,4898384","656,4898384"
"03/02/2010",1,20,23184,"656,03708678","656,03708678","656,03708678","656,03708678","656,03708678"
"04/02/2010",2,93,107856,"656,4898384","656,03708678","656,03708678","656,4898384","656,34269412"
"05/02/2010",1,7,8050,"650,83044324","650,83044324","650,83044324","650,83044324","650,83044324"
"08/02/2010",3,60,69600,"656,4898384","656,4898384","656,4898384","656,4898384","656,4898384"
"09/02/2010",2,18,20880,"656,4898384","656,4898384","656,4898384","656,4898384","656,4898384"
"12/02/2010",3,22,25520,"656,4898384","656,4898384","656,4898384","656,4898384","656,4898384"
"17/02/2010",4,29,33640,"656,4898384","656,4898384","656,4898384","656,4898384","656,4898384"
"18/02/2010",3,14,16167,"656,4898384","653,66014082","652,52826179","656,4898384","653,54129352"
"19/02/2010",6,112,131015,"662,14923356","659,31953598","659,31953598","662,14923356","662,02472686"
"22/02/2010",11,124,"142591,02","634,43517546","659,31953598","634,43517546","659,31953598","650,79082747"
"25/02/2010",2,52,58542,"637,24789486","634,41819728","634,41819728","637,24789486","637,14036635"
"26/02/2010",1,13,15080,"656,4898384","656,4898384","656,4898384","656,4898384","656,4898384"
"01/03/2010",3,16,18570,"661,91058391","661,34046283","661,34046283","661,91058391","661,69963911"
"02/03/2010",9,93,108364,"661,34046283","661,91058391","661,34046283","667,04167371","664,30509249"
"03/03/2010",3,68,78880,"661,34046283","661,34046283","661,34046283","661,34046283","661,34046283"
"04/03/2010",6,98,"114596,2","667,04167371","666,41454051","666,41454051","667,04167371","666,671095"
"08/03/2010",4,117,136672,"666,75661317","663,90600772","663,90600772","666,75661317","665,98124849"
"09/03/2010",4,24,27763,"666,75661317","661,34046283","655,92431248","666,75661317","659,51037413"
"10/03/2010",2,100,115500,"658,48985738","658,48985738","658,48985738","658,48985738","658,48985738"
"12/03/2010",1,13,"15203,5","666,75661317","666,75661317","666,75661317","666,75661317","666,75661317"
"15/03/2010",2,42,"49132,5","667,04167371","666,75661317","666,75661317","667,04167371","666,93905192"
"17/03/2010",4,11,12870,"667,04167371","667,04167371","667,04167371","667,04167371","667,04167371"
"18/03/2010",4,51,59700,"669,89227916","667,04167371","667,04167371","669,89227916","667,37804515"
