"Data","Cota","Patrimônio","Capt Líq","Captação","Resg Total","Resgate","Resg IR","Q Cotistas","Fonte"
"28/11/2008","89,847495","21204008,81","-","-","-","-","-",177,"ANBIMA"
"30/01/2009","89,4084942","21100404,62",0,0,0,0,0,177,"ANBIMA"
"27/02/2009","89,1890959","21048626,62","-","-","-","-","-",177,"ANBIMA"
"31/03/2009","88,9542385","20993200,29","-","-","-","-","-","-","ANBIMA"
"30/04/2009","88,5293736","20892932,16","-","-","-","-","-",259,"ANBIMA"
"29/05/2009","88,3490998","20850387,55","-","-","-","-","-",259,"ANBIMA"
"30/06/2009","88,1537292","20804280,08","-","-","-","-","-",259,"ANBIMA"
"31/08/2009","87,7896431","20718355,77","-","-","-","-","-",259,"ANBIMA"
"31/03/2014","170,9156774","40336099,87",0,0,0,0,0,365,"ANBIMA"
"30/04/2014","171,00061647","40356145,49",0,0,0,0,0,364,"ANBIMA"
"30/05/2014","170,83682117","40317489,8",0,0,0,0,0,359,"ANBIMA"
"30/06/2014","170,77135829","40302040,56",0,0,0,0,0,360,"ANBIMA"
"31/07/2014","170,75694075","40298638,02",0,0,0,0,0,359,"ANBIMA"
"29/08/2014","170,78532762","40305337,32",0,0,0,0,0,359,"ANBIMA"
"30/09/2014","170,7779877","40303605,1",0,0,0,0,0,364,"ANBIMA"
"31/10/2014","170,74044825","40294745,79",0,0,0,0,0,363,"ANBIMA"
"28/11/2014","170,70644414","40286720,82",0,0,0,0,0,354,"ANBIMA"
"31/12/2014","170,80571228","40310148,1",0,0,0,0,0,354,"ANBIMA"
"30/01/2015","166,60246177","39318180,98",0,0,0,0,0,356,"ANBIMA"
"27/02/2015","166,7157127","39344908,2",0,0,0,0,0,357,"ANBIMA"
"31/03/2015","166,73528757","39349527,87",0,0,0,0,0,360,"ANBIMA"
"30/04/2015","166,74674274","39352231,29",0,0,0,0,0,368,"ANBIMA"
"29/05/2015","166,79376495","39363328,53",0,0,0,0,0,376,"ANBIMA"
"30/06/2015","166,80990889","39367138,5",0,0,0,0,0,381,"ANBIMA"
"31/07/2015","166,77771024","39359539,62",0,0,0,0,0,391,"ANBIMA"
"31/08/2015","168,17087859","39688327,35",0,0,0,0,0,399,"ANBIMA"
"30/09/2015","168,5121438","39768865,94",0,0,0,0,0,402,"ANBIMA"
"30/10/2015","168,4643449","39757585,4",0,0,0,0,0,406,"ANBIMA"
"30/11/2015","168,36303956","39733677,34",0,0,0,0,0,408,"ANBIMA"
"31/12/2015","157,30274575",37123448,0,0,0,0,0,412,"ANBIMA"
"29/01/2016","157,28976075","37120383,54",0,0,0,0,0,409,"ANBIMA"
"29/02/2016","157,25171846","37111405,56",0,0,0,0,0,411,"ANBIMA"
"31/03/2016","157,27252465","37116315,82",0,0,0,0,0,422,"ANBIMA"
"29/04/2016","157,27252465","37116315,82",0,0,0,0,0,422,"ANBIMA"
"31/05/2016","155,29413228","36649415,22",0,0,0,0,0,443,"ANBIMA"
"30/06/2016","155,60770723","36723418,91",0,0,0,0,0,443,"ANBIMA"
"29/07/2016","155,66816245","36737686,34",0,0,0,0,0,445,"ANBIMA"
"31/08/2016","155,32089109","36655730,3",0,0,0,0,0,444,"ANBIMA"
"30/09/2016","155,32480062","36656652,95",0,0,0,0,0,444,"ANBIMA"
"30/11/2016","155,7052616","36746441,74",0,0,0,0,0,440,"ANBIMA"
"30/12/2016","159,58736575","37662618,32",0,0,0,0,0,441,"ANBIMA"
"31/01/2017","159,65409367","37678366,11",0,0,0,0,0,446,"ANBIMA"
"24/02/2017","159,70907609","37691341,96",0,0,0,0,0,438,"ANBIMA"
"31/03/2017","159,76424461","37704361,73",0,0,0,0,0,442,"ANBIMA"
"28/04/2017","159,87666376","37730892,65",0,0,0,0,0,438,"ANBIMA"
"31/05/2017","159,97842287","37754907,8",0,0,0,0,0,440,"ANBIMA"
"30/06/2017","160,01654202","37763903,92",0,0,0,0,0,443,"ANBIMA"
"31/07/2017","160,05334834","37772590,21",0,0,0,0,0,448,"ANBIMA"
"31/08/2017","160,10805749","37785501,57",0,0,0,0,0,451,"ANBIMA"
