"Data","Cota","Patrimônio","CaptLíq","Captação","ResgTotal","Resgate","ResgIR","QCotistas","Fonte"
"11/02/2015","946476,17484","20410197,45",0,0,0,0,0,1,"ANBIMA"
"12/02/2015","946250,9922","20405341,52",0,0,0,0,0,1,"ANBIMA"
"13/02/2015","946025,66581","20400482,49",0,0,0,0,0,1,"ANBIMA"
"18/02/2015","946594,48102","20577748,59",165000,165000,0,0,0,1,"ANBIMA"
"19/02/2015","945236,65841","20548231,27",0,0,0,0,0,1,"ANBIMA"
"20/02/2015","945202,68814","20547492,8",0,0,0,0,0,1,"ANBIMA"
"23/02/2015","945168,72662","20546754,52",0,0,0,0,0,1,"ANBIMA"
"24/02/2015","945017,73886","20543472,24",0,0,0,0,0,1,"ANBIMA"
"25/02/2015","944960,77597","20542233,94",0,0,0,0,0,1,"ANBIMA"
"26/02/2015","944903,82505","20540995,9",0,0,0,0,0,1,"ANBIMA"
"27/02/2015","944843,47005","20539683,86",0,0,0,0,0,1,"ANBIMA"
"02/03/2015","944791,78577","20538560,31",0,0,0,0,0,1,"ANBIMA"
"03/03/2015","944740,10378","20537436,81",0,0,0,0,0,1,"ANBIMA"
"04/03/2015","944688,41306","20536313,12",0,0,0,0,0,1,"ANBIMA"
"05/03/2015","944636,71727","20535189,32",0,0,0,0,0,1,"ANBIMA"
"06/03/2015","944585,06473","20534066,46",0,0,0,0,0,1,"ANBIMA"
"09/03/2015","944535,33778","20532985,46",0,0,0,0,0,1,"ANBIMA"
"10/03/2015","944483,43039","20531857,06",0,0,0,0,0,1,"ANBIMA"
"11/03/2015","944431,50368","20530728,24",0,0,0,0,0,1,"ANBIMA"
"12/03/2015","944379,61423","20529600,23",0,0,0,0,0,1,"ANBIMA"
"13/03/2015","944327,7211","20528472,14",0,0,0,0,0,1,"ANBIMA"
"16/03/2015","944275,80939","20577343,05",50000,50000,0,0,0,1,"ANBIMA"
"17/03/2015","944245,83784","20576689,92",0,0,0,0,0,1,"ANBIMA"
"18/03/2015","944216,31416","20576046,55",0,0,0,0,0,1,"ANBIMA"
"19/03/2015","944186,79003","20575403,17",0,0,0,0,0,1,"ANBIMA"
"20/03/2015","944149,79791","20574597,05",0,0,0,0,0,1,"ANBIMA"
