"Data","Q Negs","Q Títs","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"17/10/2005",8,84000,43460,"0,16781504807","0,18459655287","0,16781504807","0,18459655287","0,17452764999"
"25/10/2005",1,56000,27440,"0,16445874711","0,16445874711","0,16445874711","0,16445874711","0,16445874711"
"10/11/2005",3,13969,"7263,88","0,17452764999","0,17452764999","0,17452764999","0,17452764999","0,17452764999"
"14/11/2005",3,44000,22880,"0,17452764999","0,17452764999","0,17452764999","0,17452764999","0,17452764999"
"21/11/2005",1,17477,"8913,27","0,17320315527","0,17320315527","0,17320315527","0,17320315527","0,17320315527"
"22/11/2005",1,28000,14560,"0,17659929557","0,17659929557","0,17659929557","0,17659929557","0,17659929557"
"23/11/2005",1,45000,25200,"0,19018385677","0,19018385677","0,19018385677","0,19018385677","0,19018385677"
"12/12/2005",1,16000,9600,"0,20376841797","0,20376841797","0,20376841797","0,20376841797","0,20376841797"
"13/12/2005",2,40500,24300,"0,20376841797","0,20376841797","0,20376841797","0,20376841797","0,20376841797"
"15/12/2005",2,28000,15120,"0,18508821817","0,18508821817","0,18508821817","0,18508821817","0,18508821817"
"20/12/2005",1,21,"12,6","0,20565357575","0,20565357575","0,20565357575","0,20565357575","0,20565357575"
"23/12/2005",1,31479,"17313,45","0,18851577777","0,18851577777","0,18851577777","0,18851577777","0,18851577777"
"11/01/2006",1,18000,10800,"0,20565357575","0,20565357575","0,20565357575","0,20565357575","0,20565357575"
"16/01/2006",1,615,369,"0,20766096507","0,20766096507","0,20766096507","0,20766096507","0,20766096507"
"17/01/2006",3,16862,"9779,96","0,20073893291","0,20073893291","0,20073893291","0,20073893291","0,20073893291"
"23/01/2006",1,10,"6,5","0,2249660455","0,2249660455","0,2249660455","0,2249660455","0,2249660455"
"26/01/2006",4,51313,"33353,45","0,2249660455","0,2249660455","0,2249660455","0,2249660455","0,2249660455"
"27/01/2006",1,4000,2600,"0,2249660455","0,2249660455","0,2249660455","0,2249660455","0,2249660455"
"30/01/2006",2,17000,11050,"0,2249660455","0,2249660455","0,2249660455","0,2249660455","0,2249660455"
"31/01/2006",1,679,"407,4","0,20766096507","0,20766096507","0,20766096507","0,20766096507","0,20766096507"
"09/02/2006",3,17002,"11051,3","0,2249660455","0,2249660455","0,2249660455","0,2249660455","0,2249660455"
"03/03/2006",1,88,"61,6","0,24433860644","0,24433860644","0,24433860644","0,24433860644","0,24433860644"
"14/03/2006",5,49456,"29298,56","0,20943309123","0,20245198819","0,20245198819","0,20943309123","0,20594253971"
"23/03/2006",5,19000,12350,"0,2278732998","0,2278732998","0,2278732998","0,2278732998","0,2278732998"
"30/03/2006",2,14979,"9736,35","0,2278732998","0,2278732998","0,2278732998","0,2278732998","0,2278732998"
"03/04/2006",1,2000,1220,"0,2138503275","0,2138503275","0,2138503275","0,2138503275","0,2138503275"
"06/04/2006",2,15175,"9560,25","0,22086181365","0,22086181365","0,22086181365","0,22086181365","0,22086181365"
"10/04/2006",1,1500,915,"0,2138503275","0,2138503275","0,2138503275","0,2138503275","0,2138503275"
"11/04/2006",2,103629,"63213,69","0,2138503275","0,2138503275","0,2138503275","0,2138503275","0,2138503275"
"24/04/2006",1,19165,"10732,4","0,19810783028","0,19810783028","0,19810783028","0,19810783028","0,19810783028"
"25/04/2006",1,100,64,"0,22640894889","0,22640894889","0,22640894889","0,22640894889","0,22640894889"
"27/04/2006",2,30271,"19424,94","0,22994658871","0,22640894889","0,22640894889","0,22994658871","0,22640894889"
"08/05/2006",1,28000,16520,"0,20872074976","0,20872074976","0,20872074976","0,20872074976","0,20872074976"
"10/05/2006",1,2871,"1894,86","0,23348422854","0,23348422854","0,23348422854","0,23348422854","0,23348422854"
"23/05/2006",1,20,13,"0,23173728592","0,23173728592","0,23173728592","0,23173728592","0,23173728592"
"29/05/2006",1,17000,10200,"0,21391134085","0,21391134085","0,21391134085","0,21391134085","0,21391134085"
"30/05/2006",1,477,"271,89","0,20321577381","0,20321577381","0,20321577381","0,20321577381","0,20321577381"
"19/06/2006",2,4875,"3071,25","0,22667481852","0,22667481852","0,22667481852","0,22667481852","0,22667481852"
"26/06/2006",2,31369,"19448,78","0,22307680553","0,22307680553","0,22307680553","0,22307680553","0,22307680553"
"30/06/2006",3,92523,"56550,17","0,21947879254","0,21947879254","0,21947879254","0,22307680553","0,21947879254"
