"Data","Cota","Patrimônio","Capt Líq","Captação","Resg Total","Resgate","Resg IR","Q Cotistas","Fonte"
"31/08/2012","105,62","314408772,52",-7547000,0,7547000,7547000,0,1,"ANBIMA"
"28/09/2012","105,5661","314238793,62",-3748000,0,3748000,3748000,0,1,"ANBIMA"
"31/10/2012","105,57","314238793,62",-3748000,0,3748000,3748000,0,1,"ANBIMA"
"30/11/2012","105,57","314235707,38",0,0,0,0,0,1,"ANBIMA"
"31/12/2012","143,21","426307167,93",0,0,0,0,0,1,"ANBIMA"
"31/01/2013","143,22","426317563,06",0,0,0,0,0,1,"ANBIMA"
"28/02/2013","143,22","426317563,06",0,0,0,0,0,1,"ANBIMA"
"28/03/2013","143,22","426317563,06",0,0,0,0,0,1,"ANBIMA"
"30/04/2013","148,68","442569530,09",0,0,0,0,0,1,"ANBIMA"
"31/05/2013","148,68","442569530,09",0,0,0,0,0,1,"ANBIMA"
"28/06/2013","147,59","439343120,59",0,0,0,0,0,1,"ANBIMA"
"31/07/2013","147,59","439343120,59",0,0,0,0,0,1,"ANBIMA"
"30/08/2013","146,34","435595919,72",0,0,0,0,0,1,"ANBIMA"
"30/09/2013","147,08","437814389,01",0,0,0,0,0,1,"ANBIMA"
"31/10/2013","151,98","452394695,19",0,0,0,0,0,1,"ANBIMA"
"29/11/2013","151,98","452394695,19",0,0,0,0,0,1,"ANBIMA"
"31/12/2013","152,97","455350596,34",0,0,0,0,0,1,"ANBIMA"
"31/01/2014","151,5","450979019,06",0,0,0,0,0,1,"ANBIMA"
"28/02/2014","152,08","454278135,87",0,0,0,0,0,1,"ANBIMA"
"31/03/2014","153,64","457337969,69",0,0,0,0,0,1,"ANBIMA"
"30/04/2014","168,5","501586456,28",0,0,0,0,0,1,"ANBIMA"
"30/05/2014","149,48","444943026,6",0,0,0,0,0,1,"ANBIMA"
"30/06/2014","150,58","448244463,08",0,0,0,0,0,1,"ANBIMA"
"31/07/2014","143,12","426021054,47",0,0,0,0,0,1,"ANBIMA"
"29/08/2014","143,61","427483338,29",0,0,0,0,0,1,"ANBIMA"
"30/09/2014","144,12","428995785,1",0,0,0,0,0,1,"ANBIMA"
"31/10/2014","136,01","404873952,73",0,0,0,0,0,1,"ANBIMA"
"28/11/2014","84,25","250794981,88",0,0,0,0,0,1,"ANBIMA"
"31/12/2014","84,23","250727379,05",0,0,0,0,0,1,"ANBIMA"
"30/01/2015","69,49","206843241,77",0,0,0,0,0,1,"ANBIMA"
"27/02/2015","69,51","206900716,95",0,0,0,0,0,1,"ANBIMA"
"31/03/2015","69,5","206886606,86",0,0,0,0,0,1,"ANBIMA"
"30/04/2015","69,13","205774936,18",0,0,0,0,0,1,"ANBIMA"
"29/05/2015","69,2","205993100,13",0,0,0,0,0,1,"ANBIMA"
"30/06/2015","69,38","206510798,65",0,0,0,0,0,1,"ANBIMA"
"31/07/2015","69,38","206510798,65",0,0,0,0,0,1,"ANBIMA"
"31/08/2015","69,51","206910999,17",0,0,0,0,0,1,"ANBIMA"
"30/09/2015","69,53","207134305,05",0,0,0,0,0,1,"ANBIMA"
"30/10/2015","62,78","188028503,45",0,0,0,0,0,1,"ANBIMA"
"30/11/2015","65,03","209849426,3",0,0,0,0,0,1,"ANBIMA"
"31/12/2015","64,61","209150952,34",0,0,0,0,0,1,"ANBIMA"
"29/01/2016","64,67","210676404,33",0,0,0,0,0,1,"ANBIMA"
"29/02/2016","64,48","211371727,14",0,0,0,0,0,1,"ANBIMA"
"31/03/2016","63,79","209989043,49",0,0,0,0,0,1,"ANBIMA"
"29/04/2016",54,"180707907,69",0,0,0,0,0,1,"ANBIMA"
"31/05/2016","53,81","180380021,9",0,0,0,0,0,1,"ANBIMA"
"30/06/2016","47,98","160835585,3",0,0,0,0,0,1,"ANBIMA"
"29/07/2016","56,5","189393103,19",0,0,0,0,0,1,"ANBIMA"
"31/08/2016","59,21","211274347,72",0,0,0,0,0,1,"ANBIMA"
"30/09/2016","59,87","213629779,18",0,0,0,0,0,1,"ANBIMA"
"31/10/2016","59,52","212376543,67",0,0,0,0,0,1,"ANBIMA"
"30/11/2016","59,57","212544502,13",0,0,0,0,0,1,"ANBIMA"
"30/12/2016","58,49","208691149,7",0,0,0,0,0,1,"ANBIMA"
"31/01/2017","70,53","251658129,88",0,0,0,0,0,1,"ANBIMA"
"24/02/2017","70,81","252672116,44",0,0,0,0,0,1,"ANBIMA"
"31/03/2017","70,29","250793345,41",0,0,0,0,0,1,"ANBIMA"
"28/04/2017","70,08","250062522,57",0,0,0,0,0,1,"ANBIMA"
"31/05/2017","70,02","249848124,66",0,0,0,0,0,1,"ANBIMA"
"30/06/2017","70,16","250345316,38",0,0,0,0,0,1,"ANBIMA"
"31/07/2017","70,14","250250554,74",0,0,0,0,0,1,"ANBIMA"
"31/08/2017","76,51","272984723,21",0,0,0,0,0,1,"ANBIMA"
