"Data","QNegs","QTíts","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"15/07/2011",0,0,0,"51,613199772","51,613199772","51,613199772","51,613199772","51,613199772"
"18/07/2011",2,1010,"101003,85","51,811910591","51,613199772","51,613199772","51,811910591","51,6152643"
"20/07/2011",1,70,"7026,95","51,811910591","51,811910591","51,811910591","51,811910591","51,811910591"
"21/07/2011",1,20,"2007,7","51,811910591","51,811910591","51,811910591","51,811910591","51,811910591"
"25/07/2011",1,20,"2007,7","51,811910591","51,811910591","51,811910591","51,811910591","51,811910591"
"28/07/2011",1,60,"6023,1","51,811910591","51,811910591","51,811910591","51,811910591","51,811910591"
"01/08/2011",1,820,82000,"51,890080402","51,890080402","51,890080402","51,890080402","51,890080402"
"05/08/2011",1,900,90000,"51,890080402","51,890080402","51,890080402","51,890080402","51,890080402"
"08/08/2011",2,1000,100000,"51,890080402","51,890080402","51,890080402","51,890080402","51,890080402"
"25/08/2011",1,1500,150000,"51,890080402","51,890080402","51,890080402","51,890080402","51,890080402"
"05/09/2011",2,1100,110000,"52,26321309","52,26321309","52,26321309","52,26321309","52,26321309"
"08/09/2011",1,20,2030,"53,047161286","53,047161286","53,047161286","53,047161286","53,047161286"
"13/09/2011",1,1500,150000,"52,26321309","52,26321309","52,26321309","52,26321309","52,26321309"
"14/09/2011",3,3980,398000,"52,26321309","52,26321309","52,26321309","52,26321309","52,26321309"
"15/09/2011",2,700,70000,"52,26321309","52,26321309","52,26321309","52,26321309","52,26321309"
"27/09/2011",1,20,2002,"52,315476303","52,315476303","52,315476303","52,315476303","52,315476303"
"05/10/2011",1,900,89442,"52,315418923","52,315418923","52,315418923","52,315418923","52,315418923"
"13/10/2011",1,300,30000,"52,641798071","52,641798071","52,641798071","52,641798071","52,641798071"
"18/10/2011",1,300,30000,"52,641798071","52,641798071","52,641798071","52,641798071","52,641798071"
"19/10/2011",1,60,6000,"52,641798071","52,641798071","52,641798071","52,641798071","52,641798071"
"16/11/2011",1,300,29790,"52,586332465","52,586332465","52,586332465","52,586332465","52,586332465"
"23/11/2011",2,5000,499955,"52,957031687","52,692246528","52,692246528","52,957031687","52,952265554"
"30/11/2011",1,100,9850,"52,162676212","52,162676212","52,162676212","52,162676212","52,162676212"
"02/12/2011",2,80,"7786,16","52,162424608","51,813086888","51,813086888","52,162424608","51,987755748"
"05/12/2011",3,720,"70310,88","52,162424608","52,162424608","52,162424608","52,162424608","52,162424608"
"09/12/2011",1,1000,100000,"53,415553493","53,415553493","53,415553493","53,415553493","53,415553493"
"13/12/2011",1,300,29400,"52,347242423","52,347242423","52,347242423","52,347242423","52,347242423"
"15/12/2011",1,1000,100000,"53,415553493","53,415553493","53,415553493","53,415553493","53,415553493"
"20/12/2011",2,500,48980,"52,080164656","52,347242423","52,080164656","52,347242423","52,325876202"
"21/12/2011",1,300,30000,"53,415553493","53,415553493","53,415553493","53,415553493","53,415553493"
"23/12/2011",1,300,30000,"53,415553493","53,415553493","53,415553493","53,415553493","53,415553493"
"27/12/2011",1,500,50000,"53,415553493","53,415553493","53,415553493","53,415553493","53,415553493"
"04/01/2012",1,2000,206000,"55,492826343","55,492826343","55,492826343","55,492826343","55,492826343"
"13/01/2012",1,1000,102800,"55,385073282","55,385073282","55,385073282","55,385073282","55,385073282"
"03/02/2012",8,420,42000,"54,332147217","54,332147217","54,332147217","54,332147217","54,332147217"
"07/02/2012",2,80,8240,"55,962111633","55,962111633","55,962111633","55,962111633","55,962111633"
"08/02/2012",3,130,13375,"55,962111633","55,962111633","55,690450897","55,962111633","55,899629664"
"14/02/2012",1,60,6120,"55,418790161","55,418790161","55,418790161","55,418790161","55,418790161"
"15/02/2012",1,10,1020,"55,418790161","55,418790161","55,418790161","55,418790161","55,418790161"
"16/02/2012",4,2000,204591,"55,962111633","54,495143658","54,169150775","55,962111633","55,579613317"
"17/02/2012",1,910,93730,"55,962111633","55,962111633","55,962111633","55,962111633","55,962111633"
"27/02/2012",1,50,5225,"56,777093842","56,777093842","56,777093842","56,777093842","56,777093842"
"28/02/2012",1,10,1045,"56,777093842","56,777093842","56,777093842","56,777093842","56,777093842"
"29/02/2012",1,10,1045,"56,777093842","56,777093842","56,777093842","56,777093842","56,777093842"
"07/03/2012",1,90,9360,"56,962954805","56,962954805","56,962954805","56,962954805","56,962954805"
"15/03/2012",2,30,3120,"56,962954805","56,962954805","56,962954805","56,962954805","56,962954805"
"26/03/2012",1,40,4400,"60,249279121","60,249279121","60,249279121","60,249279121","60,249279121"
"27/03/2012",1,160,17600,"60,249279121","60,249279121","60,249279121","60,249279121","60,249279121"
"03/04/2012",3,130,14300,"60,697921602","60,697921602","60,697921602","60,697921602","60,697921602"
"05/04/2012",1,200,22000,"60,697921602","60,697921602","60,697921602","60,697921602","60,697921602"
"09/04/2012",1,670,73700,"60,697921602","60,697921602","60,697921602","60,697921602","60,697921602"
"12/04/2012",1,40,4400,"60,697921602","60,697921602","60,697921602","60,697921602","60,697921602"
"13/04/2012",10,2030,"207331,5","56,338707233","56,780146663","56,338707233","56,780146663","56,357468409"
"19/04/2012",5,400,43586,"60,697921602","57,000866377","56,338707233","60,697921602","60,12680934"
"20/04/2012",2,2000,220000,"60,697921602","60,697921602","60,697921602","60,697921602","60,697921602"
"25/04/2012",2,700,77001,"60,698473402","60,699025201","60,698473402","60,699025201","60,698473402"
"26/04/2012",1,360,39960,"61,24972089","61,24972089","61,24972089","61,24972089","61,24972089"
"02/05/2012",3,1000,111000,"61,722369666","61,722369666","61,722369666","61,722369666","61,722369666"
"03/05/2012",3,940,104340,"61,722369666","61,722369666","61,722369666","61,722369666","61,722369666"
"04/05/2012",3,610,67708,"61,722369666","61,722369666","61,666763928","61,722369666","61,720701494"
"07/05/2012",2,1890,209790,"61,722369666","61,722369666","61,722369666","61,722369666","61,722369666"
"08/05/2012",1,40,4440,"61,722369666","61,722369666","61,722369666","61,722369666","61,722369666"
"10/05/2012",1,350,38850,"61,722369666","61,722369666","61,722369666","61,722369666","61,722369666"
"14/05/2012",1,100,10500,"58,38602536","58,38602536","58,38602536","58,38602536","58,38602536"
"15/05/2012",2,360,41160,"63,946599204","61,722369666","61,722369666","63,946599204","63,575708929"
"24/05/2012",7,2410,280450,"66,726886126","63,946599204","63,946599204","66,726886126","64,707841763"
"05/06/2012",6,2100,273000,"72,75425581","72,75425581","72,75425581","72,75425581","72,75425581"
"11/06/2012",3,70,8728,"67,549528279","72,75425581","67,549528279","72,75425581","69,780285692"
"12/06/2012",2,250,32000,"71,634959567","71,634959567","71,634959567","71,634959567","71,634959567"
"13/06/2012",3,710,90940,"72,474431749","71,634959567","71,634959567","72,474431749","71,682529657"
"15/06/2012",2,320,"41599,98","72,75425581","72,753696162","72,753696162","72,75425581","72,75425581"
"18/06/2012",4,910,"109285,9","67,158334242","71,914783627","67,158334242","71,914783627","67,210381517"
"19/06/2012",3,60,"7799,94","72,753696162","72,753696162","72,753696162","72,753696162","72,753696162"
"20/06/2012",3,100,12750,"71,355135506","71,355135506","71,355135506","71,355135506","71,355135506"
"21/06/2012",4,2190,"282119,98","72,75425581","71,914783627","71,914783627","72,75425581","72,094990323"
"22/06/2012",4,60,7710,"71,634959567","72,75425581","71,634959567","72,75425581","71,914783627"
"25/06/2012",2,200,"25600,02","71,634959567","71,635519215","71,634959567","71,635519215","71,634959567"
"27/06/2012",2,1080,139320,"72,194607688","72,194607688","72,194607688","72,194607688","72,194607688"
"29/06/2012",2,3110,401190,"72,194607688","72,194607688","72,194607688","72,194607688","72,194607688"
"02/07/2012",1,30,3855,"72,323912623","72,323912623","72,323912623","72,323912623","72,323912623"
"04/07/2012",1,240,30960,"72,605328626","72,605328626","72,605328626","72,605328626","72,605328626"
"05/07/2012",4,1080,"138650,14","72,605328626","72,042496621","67,540966246","72,605328626","72,256372783"
