"Data","QNegs","QTíts","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"18/03/2011",0,0,0,"47,168540972","47,168541062","47,168541062","47,168540972","47,168540972"
"21/03/2011",3,"9,02","992,17","49,789701713","49,337068061","48,884434409","49,789701713","49,789701713"
"22/03/2011",4,"10,02","1102,17","49,789701713","48,431800757","48,431800757","49,789701713","49,789701713"
"08/04/2011",1,100,10800,"48,884434409","48,884434409","48,884434409","48,884434409","48,884434409"
"02/05/2011",6,102,11093,"48,431800757","49,789701713","48,431800757","49,789701713","49,337068061"
"11/05/2011",2,10,1090,"49,337068061","49,337068061","49,337068061","49,337068061","49,337068061"
"12/05/2011",5,1170,122850,"47,526533453","47,526533453","47,526533453","47,526533453","47,526533453"
"18/05/2011",3,"10,1","1111,1","49,789701713","50,242335365","49,789701713","50,242335365","49,789701713"
"23/05/2011",4,"0,24","26,52","49,789701713","50,242335365","49,789701713","50,242335365","50,242335365"
"25/05/2011",6,200,22100,"49,789701713","50,242335365","49,789701713","50,242335365","50,242335365"
"26/05/2011",2,"0,14","15,47","49,789701713","50,242335365","49,789701713","50,242335365","50,242335365"
"30/05/2011",1,"0,07","7,84","50,694969017","50,694969017","50,694969017","50,694969017","50,694969017"
"31/05/2011",1,"0,07","7,77","50,242335365","50,242335365","50,242335365","50,242335365","50,242335365"
"03/06/2011",1,"0,05","5,6","50,694969017","50,694969017","50,694969017","50,694969017","50,694969017"
"06/06/2011",2,90,10170,"51,147602669","51,147602669","51,147602669","51,147602669","51,147602669"
"09/06/2011",1,1,109,"49,337068061","49,337068061","49,337068061","49,337068061","49,337068061"
"13/06/2011",1,1,101,"45,715998846","45,715998846","45,715998846","45,715998846","45,715998846"
"16/06/2011",1,2,224,"50,694969017","50,694969017","50,694969017","50,694969017","50,694969017"
"17/06/2011",1,2,"229,98","52,048343636","52,048343636","52,048343636","52,048343636","52,048343636"
"28/06/2011",2,2,"229,8","52,007606608","52,007606608","52,007606608","52,007606608","52,007606608"
"01/07/2011",2,8,"904,29","52,411129545","51,909961625","51,909961625","52,411129545","51,974331817"
"04/07/2011",1,1,100,"45,97870826","45,97870826","45,97870826","45,97870826","45,97870826"
"19/07/2011",9,820,89380,"50,116792003","50,116792003","50,116792003","50,116792003","50,116792003"
"08/08/2011",1,60,6600,"50,576579085","50,576579085","50,576579085","50,576579085","50,576579085"
"09/08/2011",1,10,1090,"50,116792003","50,116792003","50,116792003","50,116792003","50,116792003"
"16/08/2011",1,140,15190,"49,886898462","49,886898462","49,886898462","49,886898462","49,886898462"
"22/08/2011",4,740,80660,"50,116792003","50,116792003","50,116792003","50,116792003","50,116792003"
"23/08/2011",1,500,54500,"50,116792003","50,116792003","50,116792003","50,116792003","50,116792003"
"08/09/2011",1,170,18581,"50,254728128","50,254728128","50,254728128","50,254728128","50,254728128"
"14/09/2011",3,3,"319,5","48,967324296","48,967324296","48,967324296","48,967324296","48,967324296"
"15/09/2011",4,959,"102133,5","48,967324296","48,967324296","48,967324296","48,967324296","48,967324296"
"16/09/2011",5,511,"54423,99","48,967324296","48,967324296","48,967324296","50,112194132","48,967324296"
"19/09/2011",5,2182,"232561,25","49,082271067","48,967324296","48,967324296","49,082271067","49,004107263"
"29/09/2011",1,36,"3934,44","50,250130257","50,250130257","50,250130257","50,250130257","50,250130257"
"05/10/2011",2,750,82179,"50,806472627","50,254728128","50,254728128","50,806472627","50,37887064"
"10/10/2011",4,1180,129800,"50,576579085","50,576579085","50,576579085","50,576579085","50,576579085"
"27/10/2011",1,200,21600,"49,65700492","49,65700492","49,65700492","49,65700492","49,65700492"
"01/12/2011",1,90,9900,"50,576579085","50,576579085","50,576579085","50,576579085","50,576579085"
"06/12/2011",2,162,"17706,6","50,254728128","50,254728128","50,254728128","50,254728128","50,254728128"
"09/12/2011",1,180,19800,"50,576579085","50,576579085","50,576579085","50,576579085","50,576579085"
"15/12/2011",3,925,99900,"49,65700492","49,65700492","49,65700492","49,65700492","49,65700492"
"22/12/2011",5,2031,220368,"51,955940333","49,886898462","49,886898462","51,955940333","49,886898462"
"26/12/2011",1,80,9032,"51,909961625","51,909961625","51,909961625","51,909961625","51,909961625"
"03/01/2012",2,600,65250,"52,086463131","52,086463131","52,086463131","52,086463131","52,086463131"
"16/01/2012",7,1760,193642,"52,713895469","52,206202127","52,206202127","52,713895469","52,694737229"
"19/01/2012",7,415,"45718,85","52,814476225","52,68515811","52,68515811","52,814476225","52,766580627"
"20/01/2012",5,150,"16526,62","52,780949306","52,814476225","52,68515811","52,814476225","52,771370187"
"23/01/2012",3,1971,"217536,68","52,68515811","52,862371823","52,68515811","52,862371823","52,862371823"
"26/01/2012",1,50,5525,"52,924636101","52,924636101","52,924636101","52,924636101","52,924636101"
"27/01/2012",1,91,"10061,87","52,95816302","52,95816302","52,95816302","52,95816302","52,95816302"
"06/02/2012",4,1360,149464,"53,065848063","53,065848063","53,065848063","53,065848063","53,065848063"
"10/02/2012",2,282,"31041,76","53,1527621","53,114133639","53,114133639","53,1527621","53,1527621"
"13/02/2012",1,4,"440,44","53,167247773","53,167247773","53,167247773","53,167247773","53,167247773"
"15/02/2012",6,285,"31398,45","53,196219118","53,196219118","53,196219118","53,196219118","53,196219118"
"16/02/2012",4,1323,"145815,62","53,220361906","53,596989399","50,216999077","53,596989399","53,220361906"
"17/02/2012",3,2245,"247533,7","53,239676137","53,239676137","53,239676137","53,239676137","53,239676137"
"23/02/2012",3,596,"65738,8","53,258990367","53,258990367","53,258990367","53,258990367","53,258990367"
"24/02/2012",2,246,"27141,18","53,27347604","53,27347604","53,27347604","53,27347604","53,27347604"
"27/02/2012",3,254,"28055,38","53,287961713","53,592160842","53,287961713","53,592160842","53,331418731"
"28/02/2012",1,194,"20759,94","51,670394916","51,670394916","51,670394916","51,670394916","51,670394916"
"02/03/2012",2,445,"48914,4","53,362015468","53,362015468","53,362015468","53,362015468","53,362015468"
"06/03/2012",4,1760,193599,"53,400852452","52,915390157","52,915390157","53,400852452","53,400852452"
"07/03/2012",1,30,"3300,6","53,410561698","53,410561698","53,410561698","53,410561698","53,410561698"
"08/03/2012",2,1850,"203592,5","53,425125567","53,425125567","53,425125567","53,425125567","53,425125567"
"12/03/2012",1,50,5351,"51,954174813","51,954174813","51,954174813","51,954174813","51,954174813"
"13/03/2012",17,3743,"412216,96","53,886314747","53,459107927","53,459107927","53,886314747","53,46396255"
"14/03/2012",4,436,"48041,71","53,488235665","53,643583599","51,94932019","53,643583599","53,493090288"
"15/03/2012",2,1109,"122256,16","53,517363403","53,517363403","53,517363403","53,517363403","53,517363403"
"16/03/2012",8,1003,"110610,84","53,536781895","53,536781895","53,536781895","53,536781895","53,536781895"
"20/03/2012",7,1971,"217539,27","53,580473501","53,580473501","53,580473501","53,580473501","53,580473501"
"22/03/2012",2,440,"48515,2","53,633874354","53,400852452","53,400852452","53,633874354","53,527072649"
"26/03/2012",1,1,"110,56","53,672711337","53,672711337","53,672711337","53,672711337","53,672711337"
"27/03/2012",1,360,"39819,6","53,696984452","53,696984452","53,696984452","53,696984452","53,696984452"
"28/03/2012",1,760,"84109,2","53,72611219","53,72611219","53,72611219","53,72611219","53,72611219"
"03/04/2012",15,2320,"255155,07","53,821293371","53,835974574","53,821293371","53,835974574","53,821293371"
"12/04/2012",3,143,16302,"55,788574689","55,788574689","55,788574689","55,788574689","55,788574689"
"13/04/2012",1,873,99522,"55,788574689","55,788574689","55,788574689","55,788574689","55,788574689"
"16/04/2012",12,82,9348,"55,788574689","55,788574689","55,788574689","55,788574689","55,788574689"
"17/04/2012",1,3,342,"55,788574689","55,788574689","55,788574689","55,788574689","55,788574689"
"18/04/2012",1,437,49818,"55,788574689","55,788574689","55,788574689","55,788574689","55,788574689"
"23/04/2012",2,10,1140,"55,788574689","55,788574689","55,788574689","55,788574689","55,788574689"
"24/04/2012",1,52,5928,"55,788574689","55,788574689","55,788574689","55,788574689","55,788574689"
"25/04/2012",5,1951,222414,"55,788574689","55,788574689","55,788574689","55,788574689","55,788574689"
"26/04/2012",1,123,14022,"55,788574689","55,788574689","55,788574689","55,788574689","55,788574689"
"02/05/2012",1,440,"49772,8","55,916692723","55,916692723","55,916692723","55,916692723","55,916692723"
"03/05/2012",10,867,"98135,73","55,951294637","55,951294637","55,951294637","55,951294637","55,951294637"
"04/05/2012",5,246,"27861,96","55,985896551","55,985896551","55,985896551","55,985896551","55,985896551"
"07/05/2012",7,155,"17828,1","56,855887527","56,855887527","56,855887527","56,855887527","56,855887527"
"08/05/2012",4,689,"79675,96","57,162361621","57,162361621","57,162361621","57,162361621","57,162361621"
"09/05/2012",8,1060,"122133,5","56,475266475","56,846001266","56,104531684","57,162361621","56,954750138"
"10/05/2012",4,340,"39004,72","57,172247882","56,846001266","56,475266475","57,172247882","56,70759361"
"11/05/2012",1,175,"20247,5","57,192020404","57,192020404","57,192020404","57,192020404","57,192020404"
"14/05/2012",1,343,"39726,26","57,25133797","57,25133797","57,25133797","57,25133797","57,25133797"
"15/05/2012",15,1433,"166000,1","57,266167362","57,266167362","56,351688211","57,266167362","57,261224231"
"16/05/2012",11,136,"15760,44","57,285939884","57,285939884","57,266167362","57,285939884","57,285939884"
"17/05/2012",6,1024,"118702,08","57,300769276","57,300769276","57,300769276","57,300769276","57,300769276"
"18/05/2012",3,715,"82904,25","57,315598667","57,315598667","57,315598667","57,315598667","57,315598667"
"21/05/2012",2,66,"7654,02","57,325484929","57,325484929","57,325484929","57,325484929","57,325484929"
"22/05/2012",6,1243,"144162,64","57,330428059","57,325484929","57,325484929","57,330428059","57,330428059"
"23/05/2012",4,423,"49063,77","57,33537119","57,33537119","57,33537119","57,33537119","57,33537119"
