"Data","QNegs","QTíts","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"11/08/2010",0,0,0,"42,096895291","42,096895291","42,096895291","42,096895291","42,096895291"
"12/08/2010",44,7500,750858,"42,096895291","42,096895291","42,0127015","42,517864244","42,143201876"
"13/08/2010",27,5221,522424,"42,096895291","42,138992186","42,092685602","42,298960388","42,122153428"
"16/08/2010",20,9623,"962328,31","42,096895291","42,096895291","42,096895291","42,181089082","42,096895291"
"17/08/2010",17,19960,"1996039,32","42,113734049","42,096895291","42,096895291","42,181089082","42,096895291"
"18/08/2010",9,853,85298,"42,096895291","42,096895291","42,092685602","42,096895291","42,096895291"
"19/08/2010",5,744,"74400,45","42,096895291","42,117943739","42,096895291","42,117943739","42,096895291"
"20/08/2010",3,1191,"119095,45","42,096895291","42,096895291","42,075846843","42,096895291","42,096895291"
"23/08/2010",14,31034,"3103353,3","42,096895291","42,096895291","42,054798396","42,117943739","42,096895291"
"24/08/2010",7,37550,3755000,"42,096895291","42,096895291","42,096895291","42,096895291","42,096895291"
"25/08/2010",5,7239,723900,"42,096895291","42,096895291","42,096895291","42,096895291","42,096895291"
"27/08/2010",10,315,"31565,1","42,096895291","42,517864244","42,096895291","42,517864244","42,185298771"
"30/08/2010",1,2,201,"42,307379768","42,307379768","42,307379768","42,307379768","42,307379768"
"31/08/2010",9,3028,"301535,95","41,92850771","41,675926338","41,675926338","42,096895291","41,920088331"
"01/09/2010",1,10,1010,"42,517864244","42,517864244","42,517864244","42,517864244","42,517864244"
"02/09/2010",1,10,1005,"42,307379768","42,307379768","42,307379768","42,307379768","42,307379768"
"03/09/2010",6,66,"6641,07","42,517864244","42,311589457","42,307379768","42,517864244","42,357896042"
"06/09/2010",7,338,33817,"42,096895291","42,517864244","42,096895291","42,517864244","42,117943739"
"08/09/2010",5,350,35125,"42,307379768","42,307379768","42,096895291","42,307379768","42,248444114"
"09/09/2010",4,430,"43007,5","42,096895291","42,117943739","42,096895291","42,117943739","42,10531467"
"10/09/2010",10,1369,"136423,11","41,886410815","42,307379768","41,886410815","42,307379768","41,949556158"
"13/09/2010",5,352,"35225,5","42,096895291","42,096895291","42,096895291","42,307379768","42,126363118"
"14/09/2010",3,198,19800,"42,096895291","42,096895291","42,096895291","42,096895291","42,096895291"
"15/09/2010",3,106,10603,"42,096895291","42,307379768","42,096895291","42,307379768","42,10952436"
"16/09/2010",5,347,34700,"42,308437478","42,308437478","42,308437478","42,308437478","42,308437478"
"17/09/2010",3,201,20300,"42,731521853","42,731521853","42,308437478","42,731521853","42,731521853"
"20/09/2010",9,638,"63804,64","42,308437478","42,731521853","42,308437478","42,731521853","42,312668322"
"21/09/2010",1,10,1000,"42,308437478","42,308437478","42,308437478","42,308437478","42,308437478"
"22/09/2010",2,400,39966,"42,519979666","42,266129041","42,266129041","42,519979666","42,274590729"
"23/09/2010",3,110,10961,"42,308437478","42,181512166","42,139203729","42,308437478","42,160357947"
"24/09/2010",10,696,"69213,2","42,308437478","42,139203729","41,885353104","42,308437478","42,071510229"
"28/09/2010",5,203,"20292,8","42,139203729","42,308437478","42,139203729","42,308437478","42,291514103"
"29/09/2010",4,1087,108700,"42,308437478","42,308437478","42,308437478","42,308437478","42,308437478"
"30/09/2010",8,344,34350,"42,308437478","42,308437478","42,096895291","42,308437478","42,244974822"
"01/10/2010",1,6,600,"42,308437478","42,308437478","42,308437478","42,308437478","42,308437478"
"04/10/2010",1,10,"999,9","42,304206635","42,304206635","42,304206635","42,304206635","42,304206635"
"05/10/2010",3,107,"10646,5","42,096895291","42,096895291","42,096895291","42,096895291","42,096895291"
"06/10/2010",2,6,"597,25","42,202666385","42,096895291","42,096895291","42,202666385","42,113818666"
"07/10/2010",3,300,29947,"42,295744947","42,202666385","42,202666385","42,295744947","42,232282291"
"08/10/2010",7,3435,342788,"42,11804951","42,223820604","42,11804951","42,223820604","42,21958976"
"13/10/2010",2,51,"5089,8","42,223820604","42,223820604","42,223820604","42,223820604","42,223820604"
"14/10/2010",2,22,"2195,6","42,223820604","42,223820604","42,223820604","42,223820604","42,223820604"
"15/10/2010",6,154,"15344,2","42,223820604","42,11804951","42,11804951","42,223820604","42,156127104"
"18/10/2010",10,349,"34775,5","42,355783346","42,568626478","42,355783346","42,568626478","42,415379423"
"19/10/2010",6,119,"11840,5","42,355783346","42,355783346","42,355783346","42,355783346","42,355783346"
"20/10/2010",1,20,"1989,8","42,351526483","42,351526483","42,351526483","42,351526483","42,351526483"
"21/10/2010",10,486,"47722,8","42,270646093","42,338755895","41,504410816","42,338755895","41,802391201"
"22/10/2010",6,599,"59445,89","42,249361779","42,249361779","42,245104917","42,270646093","42,245104917"
"25/10/2010",5,203,20167,"42,313214719","42,270646093","42,270646093","42,313214719","42,287673543"
"26/10/2010",6,42,"4174,65","42,291930406","42,313214719","42,291930406","42,313214719","42,313214719"
"27/10/2010",7,220,"21768,45","42,291930406","42,142940213","41,930097081","42,291930406","42,1216559"
"28/10/2010",14,664,"65112,54","42,440920599","42,142940213","41,529951992","42,440920599","41,742795124"
"29/10/2010",3,147,14613,"42,142940213","42,398351972","42,142940213","42,398351972","42,317471582"
"01/11/2010",7,372,"36838,78","42,440920599","42,440920599","42,142940213","42,440920599","42,155710801"
"03/11/2010",7,481,"47685,8","42,483489225","42,440920599","42,142940213","42,483489225","42,20253629"
"04/11/2010",10,242,"24045,74","42,568626478","42,483489225","41,738538262","42,568626478","42,296187269"
"05/11/2010",1,50,4950,"42,142940213","42,142940213","42,142940213","42,142940213","42,142940213"
"08/11/2010",5,1006,"100049,94","42,564369615","42,142940213","42,142940213","42,564369615","42,334499032"
"09/11/2010",9,2195,"218344,01","42,564369615","42,564369615","42,249361779","42,564369615","42,343012758"
"10/11/2010",7,2301,"225566,1","42,526057852","41,934353943","41,717253948","42,526057852","41,730024536"
"11/11/2010",1,2,"199,7","42,504773538","42,504773538","42,504773538","42,504773538","42,504773538"
"12/11/2010",8,982,"97878,75","42,568626478","42,483489225","42,142940213","42,568626478","42,428150011"
"16/11/2010",8,441,"43749,29","42,564369615","42,568626478","42,1216559","42,568626478","42,228077466"
"17/11/2010",5,273,"27056,7","42,448600704","42,873086711","42,448600704","42,873086711","42,495765816"
"18/11/2010",4,15,"1498,5","42,834497074","42,834497074","42,834497074","42,834497074","42,834497074"
"19/11/2010",6,417,41700,"42,877374449","42,877374449","42,877374449","42,877374449","42,877374449"
"22/11/2010",3,101,"10098,29","42,23850157","42,873086711","42,23850157","42,877374449","42,868798974"
"23/11/2010",1,5,"492,55","42,23850157","42,23850157","42,23850157","42,23850157","42,23850157"
"24/11/2010",1,76,"7599,24","42,873086711","42,873086711","42,873086711","42,873086711","42,873086711"
"25/11/2010",3,4506,"450149,58","42,873086711","42,873086711","42,834497074","42,873086711","42,834497074"
"26/11/2010",11,5825,"579514,34","42,662987577","42,873086711","42,55579414","42,873086711","42,658699839"
"29/11/2010",7,232,"23151,15","42,873086711","42,448600704","42,448600704","42,873086711","42,787331962"
"30/11/2010",21,3941,"392721,88","42,868798974","42,834497074","42,662987577","42,868798974","42,727303638"
"01/12/2010",11,941,"94096,59","42,877374449","42,868798974","42,868798974","42,877374449","42,877374449"
"02/12/2010",20,2000,"200011,26","42,877374449","42,877374449","42,877374449","42,95884146","42,881662186"
"03/12/2010",10,381,38003,"42,877374449","42,877374449","42,620110202","42,877374449","42,770181013"
"06/12/2010",5,125,"12498,9","42,877374449","42,877374449","42,834497074","42,877374449","42,873086711"
"07/12/2010",24,1456,"144455,7","42,662987577","42,877374449","42,234213832","42,877374449","42,538643191"
"08/12/2010",3,204,20298,"42,662987577","42,662987577","42,662987577","42,662987577","42,662987577"
"09/12/2010",15,2096,208552,"42,662987577","42,662987577","42,662987577","42,662987577","42,662987577"
"10/12/2010",3,328,32636,"42,662987577","42,662987577","42,662987577","42,662987577","42,662987577"
"13/12/2010",6,417,"41490,5","42,662987577","42,662987577","42,620110202","42,662987577","42,662987577"
"14/12/2010",28,4702,"468941,09","42,662987577","42,662987577","42,448600704","42,963129198","42,761605538"
"15/12/2010",8,1090,108766,"42,877374449","42,448600704","42,448600704","42,877374449","42,787331962"
"16/12/2010",20,763,"75179,3","42,972388776","43,188330428","42,41094048","43,188330428","42,553461971"
"17/12/2010",4,1002,"99199,3","42,886012115","43,188330428","42,756447124","43,188330428","42,756447124"
"20/12/2010",8,2123,211540,"42,972388776","43,188330428","42,972388776","43,188330428","43,032852438"
"21/12/2010",22,6023,"592802,8","42,972388776","42,972388776","42,324563819","42,972388776","42,505954807"
"22/12/2010",17,1854,"184598,19","42,972388776","42,968069943","42,540505472","43,188330428","43,002620607"
"23/12/2010",7,317,"31541,5","42,972388776","42,972388776","42,972388776","42,972388776","42,972388776"
"27/12/2010",27,2477,243262,"42,756447124","42,756447124","42,324563819","42,972388776","42,415259313"
"28/12/2010",19,2910,"286114,22","42,96375111","42,968069943","42,324563819","42,968069943","42,462766477"
"29/12/2010",7,108,"10735,52","42,96375111","42,929200445","42,929200445","42,96375111","42,929200445"
"30/12/2010",2,24,"2387,52","42,96375111","42,96375111","42,96375111","42,96375111","42,96375111"
"03/01/2011",9,284,"28193,68","42,929200445","42,96375111","42,756447124","42,96375111","42,873055616"
"04/01/2011",7,285,"28358,44","43,015577106","42,929200445","42,756447124","43,101953767","42,972388776"
"05/01/2011",7,182,"18034,6","43,101953767","43,101953767","42,756447124","43,101953767","42,795316621"
"06/01/2011",13,1047,"104086,18","42,842823785","42,972388776","42,760765957","42,972388776","42,933519278"
"07/01/2011",12,185,"18378,81","42,760765957","43,188330428","42,760765957","43,188330428","42,903287447"
"10/01/2011",26,4265,"419453,63","43,097634934","42,760765957","42,324563819","43,097634934","42,475722976"
"11/01/2011",18,1882,"184639,11","42,803954287","43,097634934","42,324563819","43,097634934","42,372070983"
"12/01/2011",5,56,"5588,18","43,088997268","43,097634934","43,088997268","43,097634934","43,097634934"
"13/01/2011",4,191,"19042,05","43,188330428","42,972388776","42,972388776","43,188330428","43,058765437"
"14/01/2011",17,2955,"293339,24","42,756447124","42,972388776","42,756447124","43,184011595","42,873055616"
"17/01/2011",2,54,"5394,96","43,145142097","43,184011595","43,145142097","43,184011595","43,149460931"
"18/01/2011",6,101,"9997,9","43,284348041","43,110340612","42,631820181","43,284348041","43,062488569"
"19/01/2011",10,1314,"129816,13","42,849329468","43,30609897","42,849329468","43,30609897","42,975484854"
"20/01/2011",13,629,"62128,29","43,066838754","43,240846184","42,675322038","43,279997855","42,966784482"
"21/01/2011",5,137,"13582,11","43,279997855","43,066838754","43,066838754","43,279997855","43,127741355"
"24/01/2011",19,2262,"223747,78","42,849329468","43,279997855","42,849329468","43,279997855","43,032037269"
"26/01/2011",21,2485,"244640,52","42,871080396","42,892831325","42,631820181","43,279997855","42,827578539"
"27/01/2011",8,324,"31777,04","43,066838754","43,271297484","42,631820181","43,271297484","42,666621667"
"28/01/2011",12,4641,"456029,45","43,066838754","43,262597112","42,631820181","43,262597112","42,74492501"
"31/01/2011",7,182,"18068,95","43,262597112","43,262597112","43,07118894","43,262597112","43,188643955"
"01/02/2011",5,266,"26380,44","43,105990426","43,153842469","43,105990426","43,153842469","43,140791912"
"02/02/2011",8,628,"62216,07","43,105990426","43,079889312","43,066838754","43,105990426","43,097290054"
"03/02/2011",14,3286,"325687,66","43,153842469","43,066838754","42,892831325","43,436604542","43,114690797"
"04/02/2011",17,2360,"231776,64","43,023336897","42,718823896","42,631820181","43,175593398","42,723174081"
"07/02/2011",5,538,"52769,49","43,279997855","42,631820181","42,631820181","43,279997855","42,666621667"
"08/02/2011",11,1466,"144102,59","42,414310894","43,240846184","42,414310894","43,240846184","42,762325753"
"09/02/2011",6,66,"6482,4","43,153842469","42,631820181","42,631820181","43,153842469","42,727524267"
"10/02/2011",11,794,78244,"42,631820181","43,153842469","42,631820181","43,153842469","42,866730211"
"11/02/2011",2,101,"9898,9","43,023336897","42,631820181","42,631820181","43,023336897","42,636170367"
"14/02/2011",1,1,"98,9","43,023336897","43,023336897","43,023336897","43,023336897","43,023336897"
