"Data","Cota","Patrimônio","CaptLíq","Captação","ResgTotal","Resgate","ResgIR","QCotistas","Fonte"
"19/12/2016",100,65000000,65000000,65000000,0,0,0,1,"ANBIMA"
"20/12/2016","99,997504707","64998378,06",0,0,0,0,0,1,"ANBIMA"
"21/12/2016","99,82118383","64883769,49",0,0,0,0,0,1,"ANBIMA"
"22/12/2016","99,788559784","64862563,86",0,0,0,0,0,1,"ANBIMA"
"23/12/2016","99,773793476","64852965,76",0,0,0,0,0,1,"ANBIMA"
"26/12/2016","99,772405953","64852063,87",0,0,0,0,0,1,"ANBIMA"
"27/12/2016","99,7710182","64851161,83",0,0,0,0,0,1,"ANBIMA"
"28/12/2016","99,7696298","64850259,37",0,0,0,0,0,1,"ANBIMA"
"29/12/2016","99,768241184","64849356,77",0,0,0,0,0,1,"ANBIMA"
"30/12/2016","99,746434153","64835182,2",0,0,0,0,0,1,"ANBIMA"
"02/01/2017","99,745047338","64834280,77",0,0,0,0,0,1,"ANBIMA"
"03/01/2017","99,743653169","64833374,56",0,0,0,0,0,1,"ANBIMA"
"04/01/2017","99,742256476","64832466,71",0,0,0,0,0,1,"ANBIMA"
"05/01/2017","99,740860369","64831559,24",0,0,0,0,0,1,"ANBIMA"
"06/01/2017","100,03691767","65023996,49",0,0,0,0,0,1,"ANBIMA"
"09/01/2017","100,03561556","65023150,12",0,0,0,0,0,1,"ANBIMA"
"10/01/2017","100,03430976","65022301,35",0,0,0,0,0,1,"ANBIMA"
"11/01/2017","100,03301093","65021457,11",0,0,0,0,0,1,"ANBIMA"
"12/01/2017","100,03171081","65020612,03",0,0,0,0,0,1,"ANBIMA"
"13/01/2017","100,03038267","65019748,74",0,0,0,0,0,1,"ANBIMA"
"16/01/2017","100,02907292","65018897,4",0,0,0,0,0,1,"ANBIMA"
"17/01/2017","100,02776432","65018046,81",0,0,0,0,0,1,"ANBIMA"
"18/01/2017","100,02645635","65017196,63",0,0,0,0,0,1,"ANBIMA"
"19/01/2017","100,02515161","65016348,55",0,0,0,0,0,1,"ANBIMA"
"20/01/2017","100,02384607","65015499,95",0,0,0,0,0,1,"ANBIMA"
"23/01/2017","100,02253975","65014650,84",0,0,0,0,0,1,"ANBIMA"
"24/01/2017","100,02123315","65013801,55",0,0,0,0,0,1,"ANBIMA"
"25/01/2017","100,01992452","65012950,94",0,0,0,0,0,1,"ANBIMA"
"26/01/2017","99,996981046","64998037,68",0,0,0,0,0,1,"ANBIMA"
"27/01/2017","99,995668923","64997184,8",0,0,0,0,0,1,"ANBIMA"
"30/01/2017","99,994352261","64996328,97",0,0,0,0,0,1,"ANBIMA"
"31/01/2017","99,97401983","64983112,89",0,0,0,0,0,1,"ANBIMA"
"01/02/2017","99,97270623","64982259,05",0,0,0,0,0,1,"ANBIMA"
"02/02/2017","99,971390169","64981403,61",0,0,0,0,0,1,"ANBIMA"
"03/02/2017","100,86243947","65560585,66",0,0,0,0,0,1,"ANBIMA"
"06/02/2017","100,86143224","65559930,96",0,0,0,0,0,1,"ANBIMA"
"07/02/2017","100,85552127","65556088,83",0,0,0,0,0,1,"ANBIMA"
"08/02/2017","100,8454187","65549522,16",0,0,0,0,0,1,"ANBIMA"
"09/02/2017","100,84438884","65548852,75",0,0,0,0,0,1,"ANBIMA"
"10/02/2017","100,84336555","65548187,61",0,0,0,0,0,1,"ANBIMA"
"13/02/2017","100,84233746","65547519,35",0,0,0,0,0,1,"ANBIMA"
"14/02/2017","100,5813026","65377846,69",0,0,0,0,0,1,"ANBIMA"
"15/02/2017","100,580192","65377124,8",0,0,0,0,0,1,"ANBIMA"
"16/02/2017","100,57907996","65376401,98",0,0,0,0,0,1,"ANBIMA"
"17/02/2017","100,57797113","65375681,24",0,0,0,0,0,1,"ANBIMA"
"20/02/2017","100,57641043","65374666,78",0,0,0,0,0,1,"ANBIMA"
"21/02/2017","100,57485152","65373653,49",0,0,0,0,0,1,"ANBIMA"
"22/02/2017","100,57328809","65372637,26",0,0,0,0,0,1,"ANBIMA"
"23/02/2017","100,57172949","65371624,17",0,0,0,0,0,1,"ANBIMA"
"24/02/2017","100,545648","65354671,2",0,0,0,0,0,1,"ANBIMA"
"01/03/2017","100,54442364","65353875,37",0,0,0,0,0,1,"ANBIMA"
"02/03/2017","100,5431924","65353075,06",0,0,0,0,0,1,"ANBIMA"
"03/03/2017","101,43433552","65932318,09",0,0,0,0,0,1,"ANBIMA"
"06/03/2017","101,43339738","65931708,3",0,0,0,0,0,1,"ANBIMA"
"07/03/2017","101,43189655","65930732,76",0,0,0,0,0,1,"ANBIMA"
"08/03/2017","101,43095503","65930120,77",0,0,0,0,0,1,"ANBIMA"
"09/03/2017","101,43002727","65929517,73",0,0,0,0,0,1,"ANBIMA"
"10/03/2017","101,42857487","65928573,67",0,0,0,0,0,1,"ANBIMA"
"13/03/2017","101,42760206","65927941,34",0,0,0,0,0,1,"ANBIMA"
"14/03/2017","100,62667304","65407337,48",0,0,0,0,0,1,"ANBIMA"
"15/03/2017","100,62491881","65406197,23",0,0,0,0,0,1,"ANBIMA"
"16/03/2017","100,62369232","65405400,01",0,0,0,0,0,1,"ANBIMA"
"17/03/2017","100,62247281","65404607,33",0,0,0,0,0,1,"ANBIMA"
"20/03/2017","100,62125946","65403818,65",0,0,0,0,0,1,"ANBIMA"
"21/03/2017","100,6200408","65403026,52",0,0,0,0,0,1,"ANBIMA"
"22/03/2017","100,61882783","65402238,09",0,0,0,0,0,1,"ANBIMA"
"23/03/2017","100,61761796","65401451,68",0,0,0,0,0,1,"ANBIMA"
"24/03/2017","100,61641166","65400667,58",0,0,0,0,0,1,"ANBIMA"
"27/03/2017","100,61519229","65399874,99",0,0,0,0,0,1,"ANBIMA"
"28/03/2017","100,61397693","65399085,01",0,0,0,0,0,1,"ANBIMA"
"29/03/2017","100,61074741","65396985,82",0,0,0,0,0,1,"ANBIMA"
"30/03/2017","100,60953366","65396196,88",0,0,0,0,0,1,"ANBIMA"
"31/03/2017","100,59099503","65384146,77",0,0,0,0,0,1,"ANBIMA"
"03/04/2017","100,58976707","65383348,6",0,0,0,0,0,1,"ANBIMA"
"04/04/2017","100,58852129","65382538,84",0,0,0,0,0,1,"ANBIMA"
"05/04/2017","101,47964592","65961769,85",0,0,0,0,0,1,"ANBIMA"
"06/04/2017","101,47870389","65961157,53",0,0,0,0,0,1,"ANBIMA"
"07/04/2017","101,47720783","65960185,09",0,0,0,0,0,1,"ANBIMA"
"10/04/2017","101,47624016","65959556,11",0,0,0,0,0,1,"ANBIMA"
"11/04/2017","101,47517129","65958861,34",0,0,0,0,0,1,"ANBIMA"
"12/04/2017","101,47411187","65958172,72",0,0,0,0,0,1,"ANBIMA"
"13/04/2017","101,47305158","65957483,53",0,0,0,0,0,1,"ANBIMA"
"17/04/2017","100,66197984","65430286,9",0,0,0,0,0,1,"ANBIMA"
"18/04/2017","100,66061655","65429400,76",0,0,0,0,0,1,"ANBIMA"
"19/04/2017","100,6592564","65428516,66",0,0,0,0,0,1,"ANBIMA"
"20/04/2017","100,65789727","65427633,23",0,0,0,0,0,1,"ANBIMA"
"24/04/2017","100,6565371","65426749,12",0,0,0,0,0,1,"ANBIMA"
"25/04/2017","100,65516",65425854,0,0,0,0,0,1,"ANBIMA"
