"Data","Cota","Patrimônio","CaptLíq","Captação","ResgTotal","Resgate","ResgIR","QCotistas","Fonte"
"28/11/2014","1001,3794468","436913869,21",0,0,0,0,0,1,"ANBIMA"
"31/12/2014","1000,0826709","436348070,31",0,0,0,0,0,1,"ANBIMA"
"30/01/2015","1047,6956947","457122203,94",0,0,0,0,0,1,"ANBIMA"
"27/02/2015","1046,8708772","456762326,17",0,0,0,0,0,1,"ANBIMA"
"31/03/2015","1045,6319203","456221754,39",0,0,0,0,0,1,"ANBIMA"
"30/04/2015","1043,97179","455497419,62",0,0,0,0,0,1,"ANBIMA"
"29/05/2015","1042,6177215","454906623,32",0,0,0,0,0,1,"ANBIMA"
"30/06/2015","1040,4079911","453942491,41",0,0,0,0,0,1,"ANBIMA"
"31/07/2015","1037,905192","452850490,11",0,0,0,0,0,1,"ANBIMA"
"31/08/2015","1035,7126882","451893874,43",0,0,0,0,0,1,"ANBIMA"
"30/09/2015","1040,666059","454055089,55",0,0,0,0,0,1,"ANBIMA"
"30/10/2015","1045,5018323","456164995,46",0,0,0,0,0,1,"ANBIMA"
"30/11/2015","1047,3982585","456992428,96",0,0,0,0,0,1,"ANBIMA"
"31/12/2015","1033,6334589","450986681,72",0,0,0,0,0,1,"ANBIMA"
"18/01/2016","1127,2784426","491845111,87",0,0,0,0,0,1,"ANBIMA"
"19/01/2016","1127,2710487","491841885,82",0,0,0,0,0,1,"ANBIMA"
"20/01/2016","1127,2637555","491838703,68",0,0,0,0,0,1,"ANBIMA"
"22/01/2016","1121,1813341","489184870,23",0,0,0,0,0,1,"ANBIMA"
"25/01/2016","1121,1917084","489189396,69",0,0,0,0,0,1,"ANBIMA"
"29/01/2016","1127,7588717","492054728,81",0,0,0,0,0,1,"ANBIMA"
"01/02/2016","1127,7554685","492053243,98",0,0,0,0,0,1,"ANBIMA"
"02/02/2016","1127,7499143","492050820,63",0,0,0,0,0,1,"ANBIMA"
"03/02/2016","1127,7449182","492048640,74",0,0,0,0,0,1,"ANBIMA"
"04/02/2016","1127,7397037","492046365,59",0,0,0,0,0,1,"ANBIMA"
"05/02/2016","1127,7344469","492044071,98",0,0,0,0,0,1,"ANBIMA"
"10/02/2016","1127,7360735","492044781,71",0,0,0,0,0,1,"ANBIMA"
"11/02/2016","1127,7314497","492042764,29",0,0,0,0,0,1,"ANBIMA"
"12/02/2016","1127,7253249","492040091,96",0,0,0,0,0,1,"ANBIMA"
"15/02/2016","1127,7196827","492037630,21",0,0,0,0,0,1,"ANBIMA"
"16/02/2016","1127,7127228","492034593,5",0,0,0,0,0,1,"ANBIMA"
"17/02/2016","1127,7060153","492031666,93",0,0,0,0,0,1,"ANBIMA"
"18/02/2016","1127,6996159","492028874,82",0,0,0,0,0,1,"ANBIMA"
"19/02/2016","1127,6937631","492026321,16",0,0,0,0,0,1,"ANBIMA"
"29/02/2016","1129,2888337","492722269,59",0,0,0,0,0,1,"ANBIMA"
"31/03/2016","1131,4107803","493648100,39",0,0,0,0,0,1,"ANBIMA"
"29/04/2016","1117,8529701","487732665,07",0,0,0,0,0,1,"ANBIMA"
"31/05/2016","1117,5969635","487624228,95",0,0,0,0,0,1,"ANBIMA"
"30/06/2016","1129,5799949","492849306,73",0,0,0,0,0,1,"ANBIMA"
"29/07/2016","1207,5454466","526866568,91",0,0,0,0,0,1,"ANBIMA"
"31/08/2016","1197,9991758","522701416,39",0,0,0,0,0,1,"ANBIMA"
"30/09/2016","1180,4204919","515031625,64",0,0,0,0,0,1,"ANBIMA"
"31/10/2016","1178,867315","514353955,95",0,0,0,0,0,1,"ANBIMA"
"30/11/2016","1218,1431825","531490488,25",0,0,0,0,0,1,"ANBIMA"
"30/12/2016","1235,9498077","539259732,51",0,0,0,0,0,1,"ANBIMA"
"31/01/2017","1221,6241517","533009276,86",0,0,0,0,0,1,"ANBIMA"
"24/02/2017","1218,8592199","531802903,96",0,0,0,0,0,1,"ANBIMA"
"31/03/2017","1219,3876122","532033447,86",0,0,0,0,0,1,"ANBIMA"
"28/04/2017","1233,3134758","538109469,26",0,0,0,0,0,1,"ANBIMA"
"31/05/2017","1227,1241653","535408998,8",0,0,0,0,0,1,"ANBIMA"
"30/06/2017","1215,9303839","530525017,67",0,0,0,0,0,1,"ANBIMA"
"31/07/2017","1223,7902936","533954390,56",0,0,0,0,0,1,"ANBIMA"
"31/08/2017","1224,3028904","534178042,7",0,0,0,0,0,1,"ANBIMA"
