"Data","Cota","Patrimônio","CaptLíq","Captação","ResgTotal","Resgate","ResgIR","QCotistas","Fonte"
"31/12/2015","0,9906086","71357003,2","72033498,7","72033498,7",0,0,0,1,"ANBIMA"
"29/01/2016","0,809155389","58286293,63",0,0,0,0,0,1,"ANBIMA"
"29/02/2016","0,83662535","60265050,79",0,0,0,0,0,1,"ANBIMA"
"31/03/2016","0,8368667","60282436,28",0,0,0,0,0,1,"ANBIMA"
"29/04/2016","0,753923","54307711,34",0,0,0,0,0,1,"ANBIMA"
"31/05/2016","0,6844025","49299906,59",0,0,0,0,0,1,"ANBIMA"
"30/06/2016","0,68770705","49537944,83",0,0,0,0,0,1,"ANBIMA"
"29/07/2016","0,5477866","39458984,96",0,0,0,0,0,1,"ANBIMA"
"31/08/2016","0,51599385","37168842,56",0,0,0,0,0,1,"ANBIMA"
"30/09/2016","0,56559335","40741667,74",0,0,0,0,0,1,"ANBIMA"
"31/10/2016","0,48546983","34970090,4",0,0,0,0,0,1,"ANBIMA"
"30/11/2016","0,48820902","35167403,67",0,0,0,0,0,1,"ANBIMA"
"30/12/2016","0,40960131","29505015,08",0,0,0,0,0,1,"ANBIMA"
"31/01/2017","1,42133205","102383520,13",0,0,0,0,0,1,"ANBIMA"
"24/02/2017","1,42634803","102744838,56",0,0,0,0,0,1,"ANBIMA"
"31/03/2017","1,3986859","100752238,95",0,0,0,0,0,1,"ANBIMA"
"28/04/2017","1,40198298","100989738,91",0,0,0,0,0,1,"ANBIMA"
"31/05/2017","1,3352748","96184515,74",0,0,0,0,0,1,"ANBIMA"
"30/06/2017","1,36500968","98326423,04",0,0,0,0,0,1,"ANBIMA"
"31/07/2017","1,32552346","95482092,59",0,0,0,0,0,1,"ANBIMA"
"31/08/2017","1,31111783","94444404,14",0,0,0,0,0,1,"ANBIMA"
