"Data","QNegs","QTíts","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"10/09/2012",0,0,0,"58,027939201","58,027939201","58,027939201","58,027939201","58,027939201"
"11/09/2012",15,1751,"189278,49","62,380034641","63,807521945","61,509615553","66,151850689","62,728202276"
"12/09/2012",16,853,92843,"62,960314033","63,830733121","62,960314033","63,830733121","63,157609026"
"13/09/2012",34,2696,294219,"64,265942665","63,540593425","63,250453729","64,265942665","63,32589005"
"14/09/2012",2,300,32775,"63,685663273","63,250453729","63,250453729","63,685663273","63,395523577"
"17/09/2012",1,1,113,"65,571571297","65,571571297","65,571571297","65,571571297","65,571571297"
"18/09/2012",21,976,"111240,7","66,732130081","66,151850689","64,701152209","66,732130081","66,140245101"
"19/09/2012",10,875,97288,"63,830733121","66,732130081","63,830733121","66,732130081","64,521265597"
"20/09/2012",3,210,23100,"63,830733121","63,830733121","63,830733121","63,830733121","63,830733121"
"21/09/2012",8,1352,"143975,5","60,929336161","63,830733121","60,929336161","63,830733121","61,793952455"
"24/09/2012",3,210,22890,"63,250453729","63,250453729","63,250453729","63,250453729","63,250453729"
"25/09/2012",1,15,"1624,5","62,844258154","62,844258154","62,844258154","62,844258154","62,844258154"
"26/09/2012",2,27,2916,"62,670174337","62,670174337","62,670174337","62,670174337","62,670174337"
"27/09/2012",17,829,"88801,28","60,935138955","62,670174337","60,935138955","63,250453729","62,159528472"
"28/09/2012",1,1,108,"62,670174337","62,670174337","62,670174337","62,670174337","62,670174337"
"01/10/2012",12,1390,146494,"61,219475857","60,929336161","60,929336161","62,089894945","61,155645124"
"02/10/2012",5,1111,"117670,2","61,219475857","62,084092151","61,219475857","62,089894945","61,457390407"
"03/10/2012",8,799,"83999,25","61,509615553","61,509615553","60,929336161","61,509615553","61,004772482"
"05/10/2012",12,2411,"255808,09","61,567643492","61,573446286","61,567643492","62,089894945","61,567643492"
"08/10/2012",13,659,"70572,4","63,086534023","62,508187244","62,508187244","63,086534023","62,560764224"
"09/10/2012",17,3000,321010,"61,345651799","63,09237591","61,345651799","63,09237591","62,508187244"
"10/10/2012",37,6940,"742895,95","63,09237591","61,339809912","60,761463133","63,09237591","62,537396677"
"11/10/2012",53,115147,"11748784,58","60,673834833","62,391349511","59,558034481","62,508187244","59,604769575"
"15/10/2012",39,4728,"491690,54","63,618145709","60,673834833","60,673834833","63,618145709","60,755621246"
"16/10/2012",13,1281,"133585,25","61,339809912","60,814040113","60,814040113","61,339809912","60,919194073"
"17/10/2012",7,3497,"367116,9","61,252181612","61,339809912","61,252181612","61,339809912","61,328126139"
"18/10/2012",27,10920,1145715,"61,339809912","61,164553312","61,164553312","61,345651799","61,293074819"
"19/10/2012",11,739,"77393,1","61,047715579","61,369019346","60,761463133","61,923998578","61,182078972"
"22/10/2012",13,2260,236170,"61,047715579","61,047715579","61,047715579","61,047715579","61,047715579"
"23/10/2012",7,2422,254310,"61,339809912","61,339809912","61,339809912","61,339809912","61,339809912"
"24/10/2012",12,2409,255354,"61,923998578","61,923998578","61,923998578","61,923998578","61,923998578"
"25/10/2012",5,3100,325314,"60,171432581","61,339809912","60,171432581","61,339809912","61,304758592"
"29/10/2012",5,362,"37651,5","60,755621246","61,047715579","60,755621246","61,047715579","60,761463133"
"30/10/2012",22,7000,"725924,8","60,463526913","60,755621246","60,463526913","60,755621246","60,580364647"
"31/10/2012",3,461,"48158,6","61,106134446","61,047715579","60,755621246","61,106134446","61,030189919"
"01/11/2012",3,201,21105,"61,339809912","61,339809912","61,339809912","61,339809912","61,339809912"
"05/11/2012",6,2031,213382,"61,631904245","61,339809912","61,339809912","61,631904245","61,374861232"
"06/11/2012",4,287,"30278,5","61,631904245","61,631904245","61,631904245","61,631904245","61,631904245"
"08/11/2012",4,601,63105,"61,339809912","61,339809912","61,339809912","61,339809912","61,339809912"
"09/11/2012",1,5,"524,5","61,698591042","61,698591042","61,698591042","61,698591042","61,698591042"
"12/11/2012",7,1245,130656,"61,757407621","61,698591042","61,698591042","61,757407621","61,722117674"
"13/11/2012",6,1570,163794,"61,286874991","61,757407621","61,286874991","61,757407621","61,363336544"
"14/11/2012",6,552,"57439,38","61,169241834","61,751525963","61,169241834","61,751525963","61,204531781"
"16/11/2012",4,694,"72190,4","61,698591042","61,169241834","61,169241834","61,698591042","61,18100515"
"19/11/2012",6,2638,"276626,8","61,286874991","61,645656121","61,286874991","61,757407621","61,675064411"
"21/11/2012",5,620,65084,"61,757407621","61,286874991","61,286874991","61,757407621","61,739762647"
"22/11/2012",5,2359,"247740,4","61,757407621","61,751525963","61,751525963","62,33969175","61,769170937"
"23/11/2012",7,1291,"134556,49","61,292756649","61,757407621","61,286874991","61,757407621","61,304519965"
