"Data","Cota","Patrimônio","CaptLíq","Captação","ResgTotal","Resgate","ResgIR","QCotistas","Fonte"
"10/12/2014","993,529891","2757045,45",0,0,0,0,0,14,"ANBIMA"
"11/12/2014","993,382536","2756636,54",0,0,0,0,0,14,"ANBIMA"
"12/12/2014","993,237239","2756233,34",0,0,0,0,0,14,"ANBIMA"
"15/12/2014","993,090558","2755826,3",0,0,0,0,0,14,"ANBIMA"
"16/12/2014","992,887603","2755263,1",0,0,0,0,0,14,"ANBIMA"
"17/12/2014","991,886987","2752486,39",0,0,0,0,0,14,"ANBIMA"
"18/12/2014","991,739239","2752076,39",0,0,0,0,0,14,"ANBIMA"
"19/12/2014","991,590172","2751662,73",0,0,0,0,0,14,"ANBIMA"
"22/12/2014","991,440998","2751248,77",0,0,0,0,0,14,"ANBIMA"
"23/12/2014","991,292587","2750836,93",0,0,0,0,0,14,"ANBIMA"
"24/12/2014","991,145304","2750428,22",0,0,0,0,0,14,"ANBIMA"
"26/12/2014","990,997913","2750019,21",0,0,0,0,0,14,"ANBIMA"
"29/12/2014","990,849711","2749607,95",0,0,0,0,0,14,"ANBIMA"
"30/12/2014","1136,438241","3153616,12",0,0,0,0,0,14,"ANBIMA"
"31/12/2014","1136,311636","3153264,79",0,0,0,0,0,14,"ANBIMA"
"02/01/2015","1136,173405","3152881,2",0,0,0,0,0,14,"ANBIMA"
"05/01/2015","1136,034702","3152496,3",0,0,0,0,0,14,"ANBIMA"
"06/01/2015","1135,894064","3152106,03",0,0,0,0,0,14,"ANBIMA"
"07/01/2015","1135,756205","3151723,47",0,0,0,0,0,14,"ANBIMA"
"08/01/2015","1135,617827","3151339,47",0,0,0,0,0,14,"ANBIMA"
"09/01/2015","1135,476836","3150948,22",0,0,0,0,0,14,"ANBIMA"
"12/01/2015","1135,343722","3150578,83",0,0,0,0,0,14,"ANBIMA"
"13/01/2015","1135,203935","3150190,92",0,0,0,0,0,14,"ANBIMA"
"14/01/2015","1135,062273","3149797,81",0,0,0,0,0,14,"ANBIMA"
"15/01/2015","1134,92272","3149410,55",0,0,0,0,0,14,"ANBIMA"
"16/01/2015","1134,781059","3149017,44",0,0,0,0,0,14,"ANBIMA"
"19/01/2015","1134,638825","3148622,74",0,0,0,0,0,14,"ANBIMA"
"20/01/2015","1134,497809","3148231,42",0,0,0,0,0,14,"ANBIMA"
"21/01/2015","1134,355156","3147835,56",0,0,0,0,0,14,"ANBIMA"
"22/01/2015","1134,092126","3147105,65",0,0,0,0,0,14,"ANBIMA"
"23/01/2015","1133,955012","3146725,16",0,0,0,0,0,14,"ANBIMA"
"26/01/2015","1133,794277","3146279,12",0,0,0,0,0,14,"ANBIMA"
"27/01/2015","1133,6568","3145897,62",0,0,0,0,0,14,"ANBIMA"
"28/01/2015","1133,5205","3145519,39",0,0,0,0,0,14,"ANBIMA"
"29/01/2015","1133,384345","3145141,56",0,0,0,0,0,14,"ANBIMA"
"30/01/2015","1133,247311","3144761,29",0,0,0,0,0,14,"ANBIMA"
"02/02/2015","1133,062594","3144248,7",0,0,0,0,0,14,"ANBIMA"
"03/02/2015","1132,881841","3143747,11",0,0,0,0,0,14,"ANBIMA"
"04/02/2015","1132,707772","3143264,07",0,0,0,0,0,14,"ANBIMA"
"05/02/2015","1132,859513","3143685,15",0,0,0,0,0,14,"ANBIMA"
"06/02/2015","1132,679942","3743186,84",600000,600000,0,0,0,14,"ANBIMA"
"09/02/2015","1132,765943","5243471,05",1500000,1500000,0,0,0,14,"ANBIMA"
"10/02/2015","1132,736127","7493333,04",2250000,2250000,0,0,0,14,"ANBIMA"
"11/02/2015","1132,890702","8694355,57","1199999,98","1199999,98",0,0,0,14,"ANBIMA"
"12/02/2015","1133,054575","8695613,21",0,0,0,0,0,14,"ANBIMA"
"13/02/2015","1132,330231","8690054,24",0,0,0,0,0,14,"ANBIMA"
"18/02/2015","1132,4208","8690749,31",0,0,0,0,0,14,"ANBIMA"
"19/02/2015","1132,50941","8691429,35",0,0,0,0,0,14,"ANBIMA"
"20/02/2015","1132,596354","8692096,6",0,0,0,0,0,14,"ANBIMA"
"23/02/2015","1132,684677","8692774,43",0,0,0,0,0,14,"ANBIMA"
"24/02/2015","1132,657419","8692565,24",0,0,0,0,0,14,"ANBIMA"
"25/02/2015","1132,743103","8693222,82",0,0,0,0,0,14,"ANBIMA"
"26/02/2015","1132,899624","8694424,04",0,0,0,0,0,14,"ANBIMA"
"27/02/2015","1132,986384","8695089,88",0,0,0,0,0,14,"ANBIMA"
"02/03/2015","1133,091926","8695899,86",0,0,0,0,0,14,"ANBIMA"
"03/03/2015","1133,199458","8696725,11",0,0,0,0,0,14,"ANBIMA"
