"Data","Cota","Patrimônio","Capt Líq","Captação","Resg Total","Resgate","Resg IR","Q Cotistas","Fonte"
"31/03/2014","206,9789","425441716,5",0,0,0,0,0,3,"ANBIMA"
"30/04/2014","206,8076","425089682,25",2055484,2055484,0,0,0,3,"ANBIMA"
"30/05/2014","206,7267","424923407,2",2055484,2055484,0,0,0,3,"ANBIMA"
"30/06/2014","206,4738","424403642,23",2055484,2055484,0,0,0,3,"ANBIMA"
"31/07/2014","206,6957","424859625,7",2055484,2055484,0,0,0,3,"ANBIMA"
"29/08/2014","207,0416","425570783,27",2055484,2055484,0,0,0,3,"ANBIMA"
"30/09/2014","206,9999","425485038,51",2055484,2055484,0,0,0,3,"ANBIMA"
"31/10/2014","206,8297","425135080,42",2055484,2055484,0,0,0,3,"ANBIMA"
"28/11/2014","204,62","428774065,73",2095484,2095484,0,0,0,3,"ANBIMA"
"31/12/2014","204,6064","428749495,23",2095484,2095484,0,0,0,3,"ANBIMA"
"30/01/2015",2014,"428809747,83","204,64","204,64",0,0,0,3,"ANBIMA"
"27/02/2015","204,6579","428857396,75",2095484,2095484,0,0,0,3,"ANBIMA"
"31/03/2015","204,7839","429121323,33",2095484,2095484,0,0,0,3,"ANBIMA"
"30/04/2015","202,9577","433412924,28",2135484,2135484,0,0,0,3,"ANBIMA"
"29/05/2015","202,0122","435434104,17",2155484,2155484,0,0,0,3,"ANBIMA"
"30/06/2015","206,6101","445344830,3",2155484,2155484,0,0,0,3,"ANBIMA"
"31/07/2015","204,3302","444517116,44",2175484,2175484,0,0,0,3,"ANBIMA"
"31/08/2015","202,5315","448705223,62",2215484,2215484,0,0,0,3,"ANBIMA"
"30/09/2015","201,4858","450418243,39",2235484,2235484,0,0,0,3,"ANBIMA"
"30/10/2015","200,5762","452396326,33","-","-",0,0,0,3,"ANBIMA"
"30/11/2015","196,5467","447238924,87",2275484,2275484,0,0,0,3,"ANBIMA"
"31/12/2015","167,4256","380974238,02",2275484,2275484,0,0,0,3,"ANBIMA"
"29/01/2016","167,6031","381378068,51",2275484,2275484,0,0,0,3,"ANBIMA"
"29/02/2016","167,4344","384343079,52",2295484,2295484,0,0,0,3,"ANBIMA"
"31/03/2016","167,6128","384752457,56",2295484,2295484,0,0,0,3,"ANBIMA"
"29/04/2016","167,2216","387198955,33",2315484,2315484,0,0,0,3,"ANBIMA"
"31/05/2016","167,2582","387283682,17",2315484,2315484,0,0,0,3,"ANBIMA"
"30/06/2016","167,4036","387620384,01",2335484,2335484,0,0,0,3,"ANBIMA"
"29/07/2016","166,1267","387986159,86",2335484,2335484,0,0,0,3,"ANBIMA"
"31/08/2016","165,5676","389991942,12",2355484,2355484,0,0,0,3,"ANBIMA"
"30/09/2016","165,062","388800920,92",2355484,2355484,0,0,0,3,"ANBIMA"
"31/10/2016","165,1597","389031068,84",2355484,2355484,0,0,0,3,"ANBIMA"
"30/11/2016","165,2175","389167132,5",2355484,2355484,0,0,0,3,"ANBIMA"
"30/12/2016","178,1181","419554361,33",2355484,2355484,0,0,0,3,"ANBIMA"
"31/01/2017","177,4762","418042264,28",2355484,2355484,0,0,0,3,"ANBIMA"
"24/02/2017","177,458","417999437,31",2355484,2355484,0,0,0,3,"ANBIMA"
"31/03/2017","176,7364","419834417,91",2375484,2375484,0,0,0,3,"ANBIMA"
"28/04/2017","176,6562","419643905,76",2375484,2375484,0,0,0,3,"ANBIMA"
"31/05/2017","176,7516","419870618,55",2375484,2375484,0,0,0,3,"ANBIMA"
"30/06/2017","172,3234","423490915,04",2415484,2415484,0,0,0,3,"ANBIMA"
"31/07/2017","175,2618","423342041,25",2415484,2415484,0,0,0,3,"ANBIMA"
"31/08/2017","173,9795","427203859,92",2455484,2455484,0,0,0,3,"ANBIMA"
