"Data","Cota","Patrimônio","Capt Líq","Captação","Resg Total","Resgate","Resg IR","Q Cotistas","Fonte"
"31/07/2015","592,0610311","82888544,36",0,0,0,0,0,12,"ANBIMA"
"31/08/2015","592,9394626","83011524,77",0,0,0,0,0,12,"ANBIMA"
"30/09/2015","592,8200436","82994806,1",0,0,0,0,0,12,"ANBIMA"
"30/10/2015","592,9648804","83015083,25",0,0,0,0,0,12,"ANBIMA"
"30/11/2015","538,5661318","75399258,45",0,0,0,0,0,12,"ANBIMA"
"31/12/2015","535,3535353","74949494,94",0,0,0,0,0,12,"ANBIMA"
"29/01/2016","535,9799193","75037188,7",0,0,0,0,0,12,"ANBIMA"
"29/02/2016","535,9799193","75037188,7",0,0,0,0,0,12,"ANBIMA"
"31/03/2016","536,2475967","75074663,54",0,0,0,0,0,12,"ANBIMA"
"29/04/2016","535,8256246","75015587,44",0,0,0,0,0,12,"ANBIMA"
"31/05/2016","536,0213455","75042988,37",0,0,0,0,0,12,"ANBIMA"
"30/06/2016","535,7640861","75006972,05",0,0,0,0,0,12,"ANBIMA"
"29/07/2016","535,4811105","74967355,47",0,0,0,0,0,12,"ANBIMA"
"31/08/2016","535,4937977","74969131,68",0,0,0,0,0,12,"ANBIMA"
"30/09/2016","536,4172816","75098419,42",0,0,0,0,0,12,"ANBIMA"
"31/10/2016","536,7953911","75151354,75",0,0,0,0,0,12,"ANBIMA"
"30/11/2016","535,2589544","74936253,61",0,0,0,0,0,12,"ANBIMA"
"30/12/2016","485,5520905","67977292,67",0,0,0,0,0,12,"ANBIMA"
"31/01/2017","487,1999884","68207998,37",0,0,0,0,0,12,"ANBIMA"
"24/02/2017","488,4536642","68383512,99",0,0,0,0,0,12,"ANBIMA"
"31/03/2017","484,4045584","67816638,17",0,0,0,0,0,12,"ANBIMA"
"28/04/2017","483,0784249","67630979,48",0,0,0,0,0,12,"ANBIMA"
"31/05/2017","481,995299","67479341,86",0,0,0,0,0,12,"ANBIMA"
"30/06/2017","480,7291489","67302080,84",0,0,0,0,0,12,"ANBIMA"
"31/07/2017","479,5295515","67134137,21",0,0,0,0,0,12,"ANBIMA"
