"data","cota","patrimonio","numero de cotas"
"01/09/2014","999,9641","152994500,00",153000
"01/10/2014","999,9223","780772319,84",780833
"01/11/2014","999,9887","780824180,00",780833
"01/12/2014","999,9792","780816760,00",780833
"01/01/2015","1000,3435","783261941,88",782993
"01/02/2015","1000,3435","787191469,72",786825
"01/03/2015","1000,7209","795363958,58",794791
"01/04/2015","1000,8005","819579570,24",818924
"01/05/2015","1000,6656","822971393,72",822424
"01/06/2015","1000,7517","826544806,77",825924
"01/07/2015","1000,6583","832471626,97",831924
"01/08/2015","1000,6495","846043184,51",845494
"01/09/2015","1000,4977","845914760,80",845494
"01/10/2015","1000,0673","846750960,74",846694
"01/11/2015","999,9126","850619689,86",850694
"01/12/2015","895,6456","761920297,71",850694
"01/01/2016","896,1151","764111933,86",852694
"01/02/2016","900,738","777191887,58",862839
"01/03/2016","910,9574","787831509,56",864839
"01/04/2016","910,9898","791047976,61",868339
"01/05/2016","910,8928","790963752,19",868339
"01/06/2016","910,7662","790853834,58",868339
"01/07/2016","910,4008","790536541,44",868339
"01/08/2016","870,8498","765507431,11",879035
"01/09/2016","910,9369","801200895,34",879535
"01/10/2016","911,75","801918540,28",879535
"01/11/2016","910,68","800978814,03",879535
"01/12/2016","905,79","796674193,28",879535
"01/01/2017","905,920983","796789212,03",879535
"01/02/2017","907,245520","797954188,14",879535
"01/03/2017","875,229408","769794897,13",879535
"01/04/2017","875,289088","769847387,75",879535
"01/05/2017","875,323218","769877406,50",879535
"01/06/2017","874,317236","768992610,59",879535
"01/07/2017","908,787878","799310746,48",879535
"01/08/2017","908,757295","799283847,85",879535
