"Data","QNegs","QTíts","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"05/02/2010",0,0,0,"43,718326927","43,718326927","43,718326927","43,718326927","43,718326927"
"08/02/2010",4,908,99880,"48,5179105","48,5179105","48,5179105","48,5179105","48,5179105"
"09/02/2010",2,192,21120,"48,5179105","48,5179105","48,5179105","48,5179105","48,5179105"
"10/02/2010",5,597,"65252,1","48,20916016","48,20916016","48,20916016","48,20916016","48,20916016"
"11/02/2010",5,1000,110000,"48,5179105","48,5179105","48,5179105","48,5179105","48,5179105"
"12/02/2010",1,1,115,"50,723270068","50,723270068","50,723270068","50,723270068","50,723270068"
"19/02/2010",3,53,6095,"50,723270068","50,723270068","50,723270068","50,723270068","50,723270068"
"23/02/2010",1,90,9900,"48,5179105","48,5179105","48,5179105","48,5179105","48,5179105"
"25/02/2010",3,1056,121440,"50,723270068","50,723270068","50,723270068","50,723270068","50,723270068"
"01/03/2010",1,1,"117,9","52,002378618","52,002378618","52,002378618","52,002378618","52,002378618"
"03/03/2010",2,20,2350,"51,825949852","51,825949852","51,825949852","51,825949852","51,825949852"
"15/03/2010",1,119,"13744,5","51,348059905","51,348059905","51,348059905","51,348059905","51,348059905"
"16/03/2010",3,331,"38230,5","51,348059905","51,348059905","51,348059905","51,348059905","51,348059905"
"17/03/2010",1,164,19024,"51,570345879","51,570345879","51,570345879","51,570345879","51,570345879"
"18/03/2010",1,125,"14437,5","51,348059905","51,348059905","51,348059905","51,348059905","51,348059905"
"24/03/2010",2,60,6960,"51,570345879","51,570345879","51,570345879","51,570345879","51,570345879"
"25/03/2010",1,5,580,"51,570345879","51,570345879","51,570345879","51,570345879","51,570345879"
"29/03/2010",2,100,11499,"51,121328212","51,121328212","51,121328212","51,121328212","51,121328212"
"30/03/2010",3,200,22200,"49,347486142","49,347486142","49,347486142","49,347486142","49,347486142"
"06/04/2010",1,30,"3449,7","51,121328212","51,121328212","51,121328212","51,121328212","51,121328212"
"07/04/2010",1,42,"4829,58","51,121328212","51,121328212","51,121328212","51,121328212","51,121328212"
"08/04/2010",1,6,"689,94","51,121328212","51,121328212","51,121328212","51,121328212","51,121328212"
"12/04/2010",1,342,38988,"51,093362215","51,093362215","51,093362215","51,093362215","51,093362215"
"14/04/2010",5,5005,"575524,95","51,537067729","51,537067729","51,537067729","51,537067729","51,537067729"
"15/04/2010",1,200,22910,"51,339865279","51,339865279","51,339865279","51,339865279","51,339865279"
"16/04/2010",1,6,"689,94","51,537067729","51,537067729","51,537067729","51,537067729","51,537067729"
"19/04/2010",2,430,49450,"51,541549603","51,541549603","51,541549603","51,541549603","51,541549603"
"20/04/2010",2,59,"6785,59","51,546031477","51,546031477","51,546031477","51,546031477","51,546031477"
"22/04/2010",1,21,2394,"51,093362215","51,093362215","51,093362215","51,093362215","51,093362215"
