"Data","QNegs","QTíts","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"08/01/2013",0,0,0,"64,314336138","64,314336138","64,314336138","64,314336138","64,314336138"
"09/01/2013",5199,648362,"68012537,44","67,465738609","67,530052945","66,584632204","68,102450536","67,465738609"
"10/01/2013",1407,126864,"13578945,79","69,703877506","67,530052945","67,530052945","69,703877506","68,842065402"
"11/01/2013",466,54044,"5846561,28","69,523797365","69,78105471","69,047871278","70,038312054","69,575248834"
"14/01/2013",392,174342,"18755392,71","69,170068516","69,594543135","68,494767987","69,768191842","69,189362817"
"15/01/2013",474,190026,"20355509,9","68,822771101","69,137911348","68,816339668","69,356580091","68,893516871"
"16/01/2013",678,33004,"3535224,41","68,94496834","68,887085437","68,668416694","69,137911348","68,893516871"
"17/01/2013",695,35496,"3786129,82","68,250373509","68,649122394","68,205353474","69,073597012","68,597670925"
"18/01/2013",677,51254,"5393624,52","67,851624626","68,301824978","67,227775565","68,48190512","67,677975918"
"21/01/2013",166,17748,"1880408,99","68,076724802","68,359707881","67,915938962","68,359707881","68,141039138"
"22/01/2013",160,21852,"2315853,09","68,263236377","68,160333439","68,076724802","68,26966781","68,160333439"
"23/01/2013",307,28575,"3058133,21","69,009282676","68,366139315","68,012410466","69,137911348","68,829202535"
"24/01/2013",675,50523,"5447714,64","69,684583205","69,002851242","68,353276447","69,716740374","69,350148657"
"28/01/2013",286,36205,"3882596,06","69,073597012","68,887085437","68,816339668","69,652426037","68,970694074"
"29/01/2013",227,19497,"2093264,85","69,330854357","69,163637083","68,880654004","69,375874392","69,047871278"
"30/01/2013",188,27328,"2940283,65","69,137911348","68,951399773","68,94496834","69,427325861","69,195794251"
"31/01/2013",623,120244,"13185413,93","70,745769752","70,411335204","69,491640197","70,745769752","70,527101009"
"01/02/2013",191,26531,"2912134,44","70,885967163","71,280676793","70,543022731","72,471276333","71,021850806"
"04/02/2013",226,24319,"2687041,52","72,322451391","70,95067366","69,883016464","72,322451391","71,494208233"
"05/02/2013",238,24328,"2697117,31","71,804799417","71,720680971","70,95714431","72,32892204","71,73362227"
"06/02/2013",235,19060,"2112608,99","71,565385379","71,804799417","71,228911596","72,14774385","71,720680971"
"07/02/2013",526,86529,"9667013,83","72,14774385","71,817740716","71,241852895","73,092458702","72,290098142"
"08/02/2013",436,45890,"5093247,12","71,112439902","72,14774385","70,918320412","73,047164154","71,817740716"
"13/02/2013",189,15746,"1730951,6","71,500678882","71,494208233","70,536552081","72,72363167","71,131851851"
"14/02/2013",183,20740,"2297105,54","72,471276333","71,183617048","71,183617048","72,471276333","71,668915774"
"15/02/2013",167,12464,"1389235,92","71,901859162","72,14774385","71,384207188","72,594218677","72,121861251"
"18/02/2013",339,32933,"3629236,28","70,924791061","71,888917863","70,873025864","72,471276333","71,306559392"
"19/02/2013",269,31435,"3469066,74","71,759504869","70,924791061","70,885967163","71,811270067","71,410089787"
"20/02/2013",167,20541,"2270420,36","71,183617048","71,753034219","71,177146399","72,1412732","71,520090831"
"21/02/2013",162,34028,"3775120,43","71,908329812","71,183617048","71,183617048","72,115390601","71,785387468"
"22/02/2013",161,21920,"2430771,49","71,274206144","71,824211366","71,267735494","72,1283319","71,753034219"
"25/02/2013",352,51816,"5695259,19","71,177146399","71,274206144","70,873025864","71,481266933","71,118910552"
"26/02/2013",276,25418,"2782531,79","70,646553125","70,989497558","70,627141176","71,177146399","70,834201966"
"27/02/2013",164,8899,"972654,91","70,840672616","70,659494425","70,640082476","71,1512638","70,724200922"
"28/02/2013",245,40496,"4447280,63","71,177146399","70,840672616","70,672435724","71,727151621","71,060674704"
"01/03/2013",147,12118,"1322755,93","71,187996576","71,415850245","70,849471123","71,415850245","71,064304583"
"04/03/2013",219,16752,"1829393,37","71,025243954","71,187996576","70,510945671","71,611153391","71,090345003"
"05/03/2013",87,6687,"731475,24","71,415850245","71,025243954","70,510945671","71,604643286","71,214036995"
"06/03/2013",107,27399,"3013072,07","71,611153391","71,285648148","71,025243954","71,728335278","71,591623076"
"07/03/2013",73,5714,"628151,97","71,643703915","71,285648148","71,090345003","71,682764544","71,565582657"
"08/03/2013",123,6941,"760698,94","71,480951294","71,598133181","71,090345003","71,598133181","71,350749197"
"11/03/2013",25,2679,"293283,57","71,285648148","71,103365212","70,960142906","71,474441189","71,272627939"
"12/03/2013",130,13916,"1521503,47","71,253097624","71,279138044","70,895041857","71,285648148","71,174976366"
"13/03/2013",230,13121,"1431942,64","71,246587519","71,279138044","70,895041857","71,279138044","71,044774269"
"14/03/2013",156,13940,"1518197,22","70,829940809","71,090345003","70,641147768","71,090345003","70,901551962"
"15/03/2013",330,21494,"2338651,62","70,895041857","70,842961018","70,667188187","71,090345003","70,829940809"
"18/03/2013",140,34596,"3770365,62","71,070814688","70,855981228","70,784370075","71,246587519","70,947122696"
"19/03/2013",299,20498,"2236459,19","70,960142906","71,077324793","70,797390284","71,253097624","71,031754059"
"20/03/2013",314,17248,"1878732,63","70,895041857","70,953632801","70,634637663","71,266117834","70,908062067"
"21/03/2013",613,44853,"4887132,89","70,829940809","70,901551962","70,76483976","71,122895527","70,934102486"
"22/03/2013",267,29535,"3201782,27","69,833894766","71,057794478","67,705090479","71,057794478","70,576046719"
"25/03/2013",552,7250,"776914,71","69,593020886","70,30913242","69,078722603","70,621617453","69,762283613"
"26/03/2013",155,6632,"708060,39","69,078722603","69,599530991","69,033151869","69,846914976","69,501879419"
"27/03/2013",604,35149,"3742205,29","69,658121935","69,658121935","68,688116312","69,658121935","69,313086378"
"28/03/2013",2600,31916,"3422424,8","69,977117073","69,013621554","69,013621554","70,699738711","69,807854347"
"01/04/2013",179,20747,"2211141,12","69,437773364","70,099397431","68,86130883","70,367977497","69,817715897"
"02/04/2013",235,12348,"1307356,76","69,241251364","69,961832031","69,142990364","69,961832031","69,359164564"
"03/04/2013",145,14585,"1547759,14","69,27400503","70,014237897","69,21504843","70,014237897","69,516382164"
"04/04/2013",223,17312,"1828385,95","69,241251364","69,280555764","68,78270003","69,437773364","69,182294764"
"05/04/2013",111,6111,"644705,92","69,27400503","69,17574403","68,815453697","69,365715297","69,110236697"
"08/04/2013",152,8853,"935995,31","68,913714697","69,27400503","68,795801497","70,092846697","69,260903563"
"09/04/2013",509,12614,"1333510,27","69,27400503","69,267454297","69,044729363","69,601541697","69,25435283"
"10/04/2013",297,14833,"1567054,94","69,27400503","69,110236697","68,86130883","69,27400503","69,208497697"
"11/04/2013",568,13686,"1446314,17","69,27400503","69,110236697","68,92026543","69,424671897","69,228149897"
"12/04/2013",661,26697,"2812440,03","69,241251364","69,27400503","68,199684763","69,418121164","69,011975697"
"15/04/2013",523,19262,"2032309,52","69,110236697","69,241251364","68,658236097","69,247802097","69,11678743"
"16/04/2013",319,15113,"1590762,9","68,913714697","69,110236697","68,140728163","69,405019697","68,953019097"
"17/04/2013",376,18071,"1904013,06","69,044729363","68,140728163","68,140728163","69,405019697","69,01852643"
"18/04/2013",1030,28418,"2989402,49","68,749946363","69,044729363","68,749946363","69,359164564","68,907163963"
"19/04/2013",360,18996,"1991135,36","68,422409697","68,697540497","68,343800896","69,084033763","68,66478683"
"22/04/2013",261,10772,"1128109,36","68,776149297","69,011975697","68,38965603","69,011975697","68,60583023"
"23/04/2013",447,69160,"7240636,74","68,553424363","68,78270003","68,553424363","69,070932297","68,579627297"
"24/04/2013",116,10003,"1048583,25","69,070932297","68,50756923","68,48791703","69,070932297","68,671337563"
"25/04/2013",79,10088,"1060443,39","68,66478683","69,064381563","68,599279497","69,300207964","68,86130883"
"26/04/2013",74,72624,"7593076,64","68,46826483","68,78270003","68,46826483","68,985772763","68,48791703"
"29/04/2013",75,6000,"630814,34","69,359164564","68,78270003","68,553424363","69,359164564","68,874410297"
"30/04/2013",684,11170,"1177237,15","69,110236697","68,56652583","68,455163363","69,418121164","69,03817863"
"02/05/2013",436,15365,"1615628,19","69,747501203","69,292626195","69,088262061","69,747501203","69,318995761"
"03/05/2013",132,9546,"997874,38","69,08166967","68,903675101","68,560870748","69,740908811","68,910267493"
"06/05/2013",133,11515,"1200767,41","69,042115321","67,941185954","67,941185954","69,088262061","68,745457707"
"07/05/2013",82,7958,"829010,91","68,560870748","68,560870748","68,396060962","69,351957718","68,672941402"
"08/05/2013",62,6143,"640044,94","68,692718576","68,560870748","68,560870748","69,08166967","68,686126184"
