"Data","Q Negs","Q Títs","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"08/08/2005",6,92,86940,"286,21005761","286,21005761","286,21005761","286,21005761","286,21005761"
"10/08/2005",7,65,61425,"286,21005761","286,21005761","286,21005761","286,21005761","286,21005761"
"11/08/2005",4,31,29233,"285,60432203","285,60432203","285,60432203","285,60432203","285,60432203"
"12/08/2005",2,20,18860,"285,60432203","285,60432203","285,60432203","285,60432203","285,60432203"
"15/08/2005",2,5,4700,"284,69571868","284,69571868","284,69571868","284,69571868","284,69571868"
"16/08/2005",4,20,18800,"284,69571868","284,69571868","284,69571868","284,69571868","284,69571868"
"17/08/2005",2,12,11256,"284,08998311","284,08998311","284,08998311","284,08998311","284,08998311"
"18/08/2005",7,305,286700,"284,69571868","284,69571868","284,69571868","284,69571868","284,69571868"
"19/08/2005",5,35,32900,"284,69571868","284,69571868","284,69571868","284,69571868","284,69571868"
"22/08/2005",4,50,46750,"283,18137975","283,18137975","283,18137975","283,18137975","283,18137975"
"23/08/2005",2,7,6545,"283,18137975","283,18137975","283,18137975","283,18137975","283,18137975"
"24/08/2005",4,12,11208,"282,87851196","282,87851196","282,87851196","282,87851196","282,87851196"
"25/08/2005",2,5,4650,"281,66704082","281,66704082","281,66704082","281,66704082","281,66704082"
"26/08/2005",2,5,4650,"281,66704082","281,66704082","281,66704082","281,66704082","281,66704082"
"29/08/2005",3,14,13020,"281,66704082","281,66704082","281,66704082","281,66704082","281,66704082"
"30/08/2005",3,12,11100,"280,15270189","280,15270189","280,15270189","280,15270189","280,15270189"
"31/08/2005",4,76,70528,"281,06130525","281,06130525","281,06130525","281,06130525","281,06130525"
"01/09/2005",3,12,11100,"283,277608","283,277608","283,277608","283,277608","283,277608"
"05/09/2005",2,25,"22497,5","275,59083183","275,59083183","275,59083183","275,59083183","275,59083183"
"09/09/2005",2,20,17800,"272,55899581","272,55899581","272,55899581","272,55899581","272,55899581"
"12/09/2005",1,1,880,"269,49653518","269,49653518","269,49653518","269,49653518","269,49653518"
"14/09/2005",3,10,8800,"269,49653518","269,49653518","269,49653518","269,49653518","269,49653518"
"15/09/2005",2,11,"9667,9","269,15966451","269,15966451","269,15966451","269,15966451","269,15966451"
"16/09/2005",3,40,35156,"269,15966451","269,15966451","269,15966451","269,15966451","269,15966451"
"19/09/2005",7,170,149090,"268,57779699","268,57779699","268,57779699","268,57779699","268,57779699"
"20/09/2005",6,52,45604,"268,57779699","268,57779699","268,57779699","268,57779699","268,57779699"
"22/09/2005",2,35,30450,"266,43407455","266,43407455","266,43407455","266,43407455","266,43407455"
"23/09/2005",5,51,44370,"266,43407455","266,43407455","266,43407455","266,43407455","266,43407455"
"26/09/2005",4,33,28710,"266,43407455","266,43407455","266,43407455","266,43407455","266,43407455"
"27/09/2005",2,7,6020,"263,37161393","263,37161393","263,37161393","263,37161393","263,37161393"
"28/09/2005",2,12,10320,"263,37161393","263,37161393","263,37161393","263,37161393","263,37161393"
"30/09/2005",4,65,55900,"263,37161393","263,37161393","263,37161393","263,37161393","263,37161393"
"05/10/2005",3,36,30600,"263,39454475","263,39454475","263,39454475","263,39454475","263,39454475"
"06/10/2005",7,116,98600,"263,39454475","263,39454475","263,39454475","263,39454475","263,39454475"
"07/10/2005",3,49,41601,"263,08466881","263,08466881","263,08466881","263,08466881","263,08466881"
"10/10/2005",3,49,41601,"263,08466881","263,08466881","263,08466881","263,08466881","263,08466881"
"11/10/2005",6,52,44148,"263,08466881","263,08466881","263,08466881","263,08466881","263,08466881"
"13/10/2005",3,25,21000,"260,2957854","260,2957854","260,2957854","260,2957854","260,2957854"
"14/10/2005",5,50,42000,"260,2957854","260,2957854","260,2957854","260,2957854","260,2957854"
"17/10/2005",5,71,59640,"260,2957854","260,2957854","260,2957854","260,2957854","260,2957854"
"18/10/2005",7,51,42840,"260,2957854","260,2957854","260,2957854","260,2957854","260,2957854"
"19/10/2005",3,43,35905,"258,74640572","258,74640572","258,74640572","258,74640572","258,74640572"
"20/10/2005",4,21,17535,"258,74640572","258,74640572","258,74640572","258,74640572","258,74640572"
