"Data","Q Negs","Q Títs","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"27/05/2004",2,110,440,"1,2478285253","1,2478285253","1,2478285253","1,2478285253","1,2478285253"
"18/06/2004",2,11,"42,9","1,2273336272","1,2273336272","1,2273336272","1,2273336272","1,2273336272"
"28/06/2004",1,100,390,"1,2273336272","1,2273336272","1,2273336272","1,2273336272","1,2273336272"
"15/07/2004",1,2,"7,8","1,2393698149","1,2393698149","1,2393698149","1,2393698149","1,2393698149"
"30/07/2004",2,110,429,"1,2393698149","1,2393698149","1,2393698149","1,2393698149","1,2393698149"
"17/08/2004",2,8,"30,4","1,2181090044","1,2181090044","1,2181090044","1,2181090044","1,2181090044"
"25/08/2004",5,4546,"15912,65","1,1219425041","1,1219425041","1,1219425041","1,1700257542","1,1219425041"
"30/08/2004",1,100,390,"1,2501645045","1,2501645045","1,2501645045","1,2501645045","1,2501645045"
"03/09/2004",2,7,"27,3","1,2627270195","1,2627270195","1,2627270195","1,2627270195","1,2627270195"
"08/09/2004",1,2,"7,8","1,2627270195","1,2627270195","1,2627270195","1,2627270195","1,2627270195"
"09/09/2004",3,2332,"8861,6","1,2303494036","1,2303494036","1,2303494036","1,2303494036","1,2303494036"
"13/09/2004",3,2000,7800,"1,2627270195","1,2627270195","1,2627270195","1,2627270195","1,2627270195"
"24/02/2006",3,2332,"9561,2","1,627304819","1,627304819","1,627304819","1,627304819","1,627304819"
"17/05/2006",18,8000000,31200000,"1,5943147673","1,5943147673","1,5943147673","1,5943147673","1,5943147673"
"18/05/2006",7,37500,151450,"1,6842504721","1,6147547002","1,6147547002","1,6842504721","1,6515465795"
"23/05/2006",5,5423,"22505,45","1,6965144319","1,6965144319","1,6965144319","1,6965144319","1,6965144319"
"25/05/2006",1,4500,18720,"1,7006024185","1,7006024185","1,7006024185","1,7006024185","1,7006024185"
"29/05/2006",2,20000,"82400,16","1,6842504721","1,7169543648","1,6842504721","1,7169543648","1,6842504721"
"31/05/2006",1,90,"382,5","1,7373942977","1,7373942977","1,7373942977","1,7373942977","1,7373942977"
"02/06/2006",1,5500,23375,"1,7536933298","1,7536933298","1,7536933298","1,7536933298","1,7536933298"
"06/06/2006",6,18910,"78117,5","1,6917982711","1,7536933298","1,6917982711","1,7536933298","1,7041772829"
"08/06/2006",2,15000,61500,"1,6917982711","1,6917982711","1,6917982711","1,6917982711","1,6917982711"
"12/06/2006",1,10000,40500,"1,6711665849","1,6711665849","1,6711665849","1,6711665849","1,6711665849"
"14/06/2006",1,60,258,"1,7743250161","1,7743250161","1,7743250161","1,7743250161","1,7743250161"
"16/06/2006",3,10029,"40124,7","1,6505348987","1,7743250161","1,6505348987","1,7743250161","1,6505348987"
"19/06/2006",2,20000,80000,"1,6505348987","1,6505348987","1,6505348987","1,6505348987","1,6505348987"
"30/06/2006",3,5247,"22037,4","1,7330616436","1,7330616436","1,7330616436","1,7330616436","1,7330616436"
"03/07/2006",1,1741,"7312,2","1,7478769818","1,7478769818","1,7478769818","1,7478769818","1,7478769818"
"07/07/2006",1,260,1118,"1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"10/07/2006",1,614,"2640,2","1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"13/07/2006",1,24,"103,2","1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"14/07/2006",2,270,1161,"1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"17/07/2006",3,1092,"4695,6","1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"19/07/2006",1,27,"116,1","1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"20/07/2006",1,24,"103,2","1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"21/07/2006",1,610,2623,"1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"25/07/2006",3,2351,"10109,3","1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"26/07/2006",1,56,"240,8","1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"28/07/2006",5,2022,"8694,6","1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"31/07/2006",2,2863,"12310,9","1,7894931004","1,7894931004","1,7894931004","1,7894931004","1,7894931004"
"07/08/2006",3,1970,8471,"1,8052364415","1,8052364415","1,8052364415","1,8052364415","1,8052364415"
"09/08/2006",2,26,"111,8","1,8052364415","1,8052364415","1,8052364415","1,8052364415","1,8052364415"
"16/08/2006",2,176,"756,8","1,8052364415","1,8052364415","1,8052364415","1,8052364415","1,8052364415"
"17/08/2006",5,3556,"15290,55","1,8052364415","1,8052364415","1,7842453201","1,8052364415","1,8052364415"
"18/08/2006",1,383,"1646,9","1,8052364415","1,8052364415","1,8052364415","1,8052364415","1,8052364415"
"21/08/2006",2,41,"176,3","1,8052364415","1,8052364415","1,8052364415","1,8052364415","1,8052364415"
"24/08/2006",1,187,"804,1","1,8052364415","1,8052364415","1,8052364415","1,8052364415","1,8052364415"
"25/08/2006",1,1380,5934,"1,8052364415","1,8052364415","1,8052364415","1,8052364415","1,8052364415"
