"Data","Cota","Patrimônio","CaptLíq","Captação","ResgTotal","Resgate","ResgIR","QCotistas","Fonte"
"31/08/2012","207,1424","648355956,11",0,0,0,0,0,1,"ANBIMA"
"28/09/2012","207,5491","649628927,43",-86000,0,86000,86000,0,1,"ANBIMA"
"31/10/2012","207,55","649628927,43",-86000,0,86000,86000,0,1,"ANBIMA"
"30/11/2012","207,92","650780897,81",0,0,0,0,0,1,"ANBIMA"
"31/12/2012","223,2","698610113,2",0,0,0,0,0,1,"ANBIMA"
"31/01/2013","223,62","699933777,26",0,0,0,0,0,1,"ANBIMA"
"28/02/2013","223,62","699933777,26",0,0,0,0,0,1,"ANBIMA"
"28/03/2013","224,05","701266969,1",0,0,0,0,0,1,"ANBIMA"
"30/04/2013","224,46","702558225,76",0,0,0,0,0,1,"ANBIMA"
"31/05/2013","224,46","702558225,76",0,0,0,0,0,1,"ANBIMA"
"28/06/2013","237,71","744024309,14",0,0,0,0,0,1,"ANBIMA"
"31/07/2013","237,71","744024309,14",0,0,0,0,0,1,"ANBIMA"
"30/08/2013","238,66","747003237,63",0,0,0,0,0,1,"ANBIMA"
"30/09/2013","239,17","748600169,65",0,0,0,0,0,1,"ANBIMA"
"31/10/2013","239,66","750133770,1",0,0,0,0,0,1,"ANBIMA"
"29/11/2013","239,66","750133770,1",0,0,0,0,0,1,"ANBIMA"
"31/12/2013","241,2","922023721,79",0,0,0,0,0,1,"ANBIMA"
"31/01/2014","240,67","1103966857,2",0,0,0,0,0,1,"ANBIMA"
"28/02/2014","240,56","1114833995,9",0,0,0,0,0,1,"ANBIMA"
"31/03/2014","241,16","1125158514,7",0,0,0,0,0,1,"ANBIMA"
"30/04/2014","241,52","1126838218,3",0,0,0,0,0,1,"ANBIMA"
"30/05/2014","241,89","1128579670,8",0,0,0,0,0,1,"ANBIMA"
"30/06/2014","242,39",1130916309,0,0,0,0,0,1,"ANBIMA"
"31/07/2014","242,71","1132393646,7",0,0,0,0,0,1,"ANBIMA"
"29/08/2014","243,02","1133857464,5",0,0,0,0,0,1,"ANBIMA"
"30/09/2014","243,55","1136340799,5",0,0,0,0,0,1,"ANBIMA"
"31/10/2014","244,53","1140920681,8",0,0,0,0,0,1,"ANBIMA"
"28/11/2014","245,07","1143410346,8",0,0,0,0,0,1,"ANBIMA"
"31/12/2014","237,48","1155455967,7",0,0,0,0,0,1,"ANBIMA"
"30/01/2015","244,04","1206365687,2",0,0,0,0,0,1,"ANBIMA"
"27/02/2015","244,6","1209129133,2",0,0,0,0,0,1,"ANBIMA"
"31/03/2015","244,95",1210860342,0,0,0,0,0,1,"ANBIMA"
"30/04/2015","245,28","1212472702,3",0,0,0,0,0,1,"ANBIMA"
"29/05/2015","245,75","1214814609,1",0,0,0,0,0,1,"ANBIMA"
"30/06/2015","232,68","1150208597,5",0,0,0,0,0,1,"ANBIMA"
"31/07/2015","232,68","1150208597,5",0,0,0,0,0,1,"ANBIMA"
"31/08/2015","226,61","1127298532,6",0,0,0,0,0,1,"ANBIMA"
"30/09/2015","225,12","1129357828,7",0,0,0,0,0,1,"ANBIMA"
"30/10/2015","224,15","1124469257,2",0,0,0,0,0,1,"ANBIMA"
"30/11/2015","223,29","1141390835,9",0,0,0,0,0,1,"ANBIMA"
"31/12/2015","207,43","1067166748,7",0,0,0,0,0,1,"ANBIMA"
"29/01/2016","207,91","1084510786,9",0,0,0,0,0,1,"ANBIMA"
"29/02/2016","208,69","1088578792,8",0,0,0,0,0,1,"ANBIMA"
"31/03/2016","209,79","1094344901,9",0,0,0,0,0,1,"ANBIMA"
"29/04/2016","208,29","1104423353,8",0,0,0,0,0,1,"ANBIMA"
"31/05/2016","204,61","1091250839,6",0,0,0,0,0,1,"ANBIMA"
"30/06/2016","178,57","973657810,9",0,0,0,0,0,1,"ANBIMA"
"29/07/2016","178,54","973465274,2",0,0,0,0,0,1,"ANBIMA"
"31/08/2016","178,14","971288220,25",0,0,0,0,0,1,"ANBIMA"
"30/09/2016","178,27","981021889,93",0,0,0,0,0,1,"ANBIMA"
"31/10/2016","178,21","985859426,31",0,0,0,0,0,1,"ANBIMA"
"30/11/2016","178,47","1005842950,1",0,0,0,0,0,1,"ANBIMA"
"30/12/2016","158,95","895849904,11",0,0,0,0,0,1,"ANBIMA"
"31/01/2017","159,5","911075337,6",0,0,0,0,0,1,"ANBIMA"
"24/02/2017","159,64","915790128,83",0,0,0,0,0,1,"ANBIMA"
"31/03/2017","158,49","909202193,15",0,0,0,0,0,1,"ANBIMA"
"28/04/2017","158,46","909026087,52",0,0,0,0,0,1,"ANBIMA"
"31/05/2017","158,66","911686581,55",0,0,0,0,0,1,"ANBIMA"
"30/06/2017","157,71","909646057,71",0,0,0,0,0,1,"ANBIMA"
"31/07/2017","157,92","914657655,1",0,0,0,0,0,1,"ANBIMA"
"31/08/2017","158,3","920680134,22",0,0,0,0,0,1,"ANBIMA"
